Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID
Whispering Currents,Creature,Water Elemental,At the end of each turn: You may move this creature.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,dbwi0EM8L_8
Aquasail,Creature,Sea Serpent,On Play: Move a friendly creature to here.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,HjFdPl-Vhio
Driftwood Seraphim,Creature,Woodland Spirit,On Move: Return an enemy creature at the new location with mana cost of one or lower to their owner's hand.,0,1,0,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,m6uvOgD2u1H
"Kaelara, Azure Sentinel",Creature,Dragon,"At the end of the game, your opponent (sitting on your left) may move this creature.",0,1,0,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,wk0iGVjK4gZ
Nimbus Specter,Creature,Soul,On Play: Draw a card.,0,2,0,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,xuSdARDAHAA
Moonlit Sprite Guardian,Creature,Spirit,On Move: Draw a card.,0,1,0,1,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,loyicJOUXIj
Aetherial Mire Dweller,Creature,Insect,On Play: Move a friendly creature to this location.,0,1,0,1,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,EkP0-5wRvWt
Zephyrine,Creature,Water Elemental,On Draw: You may move a friendly creature.,0,1,0,1,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,Au3pH9jan81
Sky Sentinel,Creature,Avian,On Play: Move an enemy creature with less power than this creature to this location.,0,1,0,1,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,M_zDTz8XKGa
Mistress of the Tideshroud,Creature,Sea Witch,On Play: Move an enemy creature here to another location.,0,1,0,2,6,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,5Gxc2RWLawp
Zephyrine Sentinel,Creature,Wind Elemental,On Move: Move an enemy creature.,0,1,0,2,6,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,lMWmckLcCKV
"Zha'thik, Maelstrom Wraith",Creature,Mythical,On Play: Move any creature.,0,2,0,1,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,SpvmgfIu-zS
Maelstrom Oracle,Creature,Illusion,On Play: Move enemy creatures to this location.,0,3,0,2,8,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,rIKo8QmkTVT
Maelstrom Guardian,Creature,Melee Beast,On Play: Move all enemy creatures here to other locations.,0,3,0,3,9,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,bXYMNKdiK36
Maelstrom of the Abyssal Veil,Creature,Aquatic Undead,On Play: Move all your other creatures to any location.,0,4,0,3,10,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,AgRXnaSV3tk
