Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID
Ember Spark,Creature,Fiend,On Discard: Draw a card.,1,0,0,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,B5pBtjWyu7N
Kairos Ignis,Creature,Qilin,Additional cost: Discard a card.,1,0,0,0,3,llama3.2:3b,Sana:0.6b,Alpha 0.1.0,U8jTL7wx8B3
Inferno Spark,Creature,Fire,On Play: All players must discard a card.,2,0,0,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,yhtTn1lD36N
Infernal Harbinger,Creature,Demon,"On Play: If you have discarded one or more cards this turn, return one of them to your hand.",1,0,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,KTooP86qwLw
Ember Scourge,Creature,Insect,On Discard: All enemies must discard a card.,1,0,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,cEYLns2PUkR
Pyropex,Creature,Fire Elemental,"When this is in your graveyard, you may pay one mana and discard a card to return this to your hand.",1,0,0,1,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,rym6-cnwd3i
Pyrebrand,Creature,Fiend,On Discard: Destroy a creature with a mana cost of three or less.,2,0,0,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,2Bz0mjox_Pr
Emberkin,Creature,Insect,"On Play: For every card you have discarded this turn, each opponent must destroy one of their creatures.",2,0,0,0,-4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,ftXfZFcoKxf
Ember Wraith,Creature,Fiend,While on top: Whenever you have no cards in your hand. You may return one card from your graveyard to your hand,1,0,0,2,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,rgHNIOEDL_U
Khaosurge,Creature,Monstrosity,As an additional cost to play this card: Discard two cards.,2,0,0,1,9,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,vW4BaRCMDWr
Fury of Ember,Creature,Inferno Beast,While on top: You may return the first card that enters your graveyard each turn to your hand.,1,0,0,2,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,WTEqTr1TNgs
Inferno Reckoner,Creature,Infernal,On Play: Discard X cards. Destroy X creatures with a mana value of one or less.,2,0,0,2,6,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,1l-3uBnCJk1
Pyreborn Acolyte,Creature,Spirit,As an additional cost to play this card: Discard three cards.,2,0,0,3,13,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,sMoibncntco
Infernal Overlord,Creature,Evil,On Play: Discard all your cards.,3,0,0,3,17,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,0wDrgspflOx
Ember Requiem,Creature,Fire Elemental,At the end of the game: Get 4 power for every card in your graveyard,3,0,0,4,*,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,7srjZ2n406q
