Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID
Ember Scout,Creature,Beast,You may destroy this in your turn.,1,0,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,ylIpbgp52bt
Abyssal Oracle,Creature,Mythic,On Return: Draw two cards.,0,1,0,0,2,llama3.2:3b,Sana:0.6b,Alpha 0.1.0,b-R4RXDt-Yr
Kage Shinobi,Creature,Yokai Golem,On Play: Destroy an enemy creature here with a mana cost of two or less.,1,0,0,0,-1,llama3.2:3b,Sana:0.6b,Alpha 0.1.0,E_MizcljROk
Khaosflux,Creature,Mythical,On Return: Destroy an enemy creature here.,1,1,0,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,uQEPfVP7Um0
"Khromak, Devourer of Shadows",Creature,Tariaksuq,On Play: All enemies must destroy one of their creatures.,1,0,0,1,0,llama3.2:3b,Sana:0.6b,Alpha 0.1.0,TMotVDN__Hu
Scarlet Scourge,Creature,Insectoid,On Play: All enemies must destroy one of their creatures here.,2,0,0,1,0,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,8F8fw-f9Rdr
Shadowbound Reaper,Creature,Specter Assassin,"On Play: For each opponent, destroy one of their creatures at another location.",3,0,0,1,-1,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,G51ezNMwx7t
Luminari,Creature,Spirit,Additional cost: Return any friendly creature to your hand.,0,2,0,0,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,4kouxXdTX7a
Khronikos the Devourer,Creature,Storm Dragon,On Return: Destroy any enemy creature.,1,1,0,1,7,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,_N0gP2qAwDl
Whispering Reliqua,Creature,Spirit,On Draw: You may return a friendly creature to your hand.,0,1,0,1,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,g3uRzly-vgU
Auroral Keeper,Creature,Storm Elemental,On Play: Return all friendly creatures here to your hand.,0,2,0,1,6,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,ktUEBuQfaTO
Moonlit Revenant,Creature,Ghost,On Play: Return a friendly creature here to your hand. You may play it for 1 blue mana next turn.,0,1,0,2,6,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,RD-d9sIOUGP
Aquariess of Elysium,Creature,Beast,On Play: Return a friendly creature here to your hand. You may play it for free next turn.,0,2,0,2,6,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,K2NjiFKtU1G
Airstorm Avenger,Creature,Elemental Beast,On Play: Return all friendly creatures here to your hand. You may play them for free next turn.,0,3,0,3,8,LeChat,Sana:0.6b,Alpha 0.1.0,NCB0RAp_qTP
