Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID
Abyssal Oracle,Creature,Mythic,On Return: Draw two cards.,0,1,0,0,2,llama3.2:3b,Sana:0.6b,Alpha 0.1.0,b-R4RXDt-Yr
Aeropex,Creature,Aviator,On Play: You may play your next card for free and face down. Turn it face up at the end of the game and activate its effect as usual.,0,2,1,2,6,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,5fbQ9vxsepj
Aeropex,Creature,Aviator,,0,0,0,6,12,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,SiYwZamjIuL
Aetherborn Scourge of the Deep,Creature,Mythical Wyrmkin,While on top: Sacrifice this creature to draw two cards.,1,1,0,0,4,llama3.2:3b,Sana:0.6b,Alpha 0.1.1,tR94XaJAANG
Aetherflame Archmage,Creature,Archmage,On Play: Draw a card and discard a card.,1,1,0,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,6gp8YTdzqwp
Aetherial Mire Dweller,Creature,Insect,On Play: Move one of your other creatures to this location.,0,1,0,1,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.2,1UwOCkRAPbC
Aetherium Sage,Creature,Human Wizard,On Play: Draw all your cards.,0,3,0,3,10,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,1YIhd-UBwbQ
Aethersteppe Seraph,Creature,Mythril Wyrm,On Play: You may change the stack order of creatures here.,0,2,0,0,3,llama3.2:3b,Sana:0.6b,Alpha 0.1.0,9sYtxftxz1u
Aetherwave Sprite,Creature,Spirit,Additional cost: Sacrifice one of your mana crystals. Cannot be played on your last turn.,2,0,0,0,7,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,IeiZUsl6CVM
Aethonix Wraith,Creature,Incorporeality,"While on top: Whenever you destroy a friendly creature, draw a card.",1,1,0,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.2,cO3ts_p3uRF
Airstorm Avenger,Creature,Elemental Beast,On Play: Return all other friendly creatures here to your hand. You may play them for free next turn.,0,3,0,3,8,LeChat,Sana:0.6b,Alpha 0.1.1,WessrXL5xUb
Apex Sentinel,Creature,Sentinel,,0,0,0,7,14,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,1mXmj79ZVEm
Aquari Empress,Creature,Aquatic Elemental,On Revive: Draw three cards.,0,1,1,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,9jRBEweykH1
Aquari Guardian,Creature,Aquari,On Return: Get a mana crystal.,0,1,1,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,lBmC8G2cHhN
Aquari Oracle,Creature,Sea Serpent,On Play: Draw three cards. Put one card from your hand on top of your deck.,0,1,0,3,7,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,9qvzX4QTBXh
Aquarian Ascendant,Creature,Aquatic,On Play: Draw three cards.,0,2,0,2,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,avyc-VILc4Y
Aquarian Siren,Creature,Siren,On Play: Draw a card. Put one card from your hand on top of your deck.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,FyuDLZcGBbB
Aquariarch,Creature,Aquatic Beast,On Play: Copy the 'On Play' effect of the top card of your deck.,0,1,1,1,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,_9rPsJUodOY
Aquariarch of Depths,Creature,Sea Creature,Costs [1] less for every card in your hand.,0,1,1,6,10,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,ct0hWPmAU20
Aquariess of Elysium,Creature,Beast,On Play: Return another friendly creature here to your hand. You may play it for free next turn.,0,2,0,2,6,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,WKZbd4LflbY
