Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Eurybates, Herald of Odysseus",Being,"Human, Herald","On enter: Draw 'Odysseus'.",0,0,0,1,3,Greek,ZImageTurbo,Alpha 0.3.0,,"'Of all his heralds, Odysseus valued Eurybates most — round-shouldered, dark, and sharper than he looked.'"
"Calchas, Prophet of Apollo",Being,Human,"On enter: Look at the top 2 cards of your deck. Put one into your hand and the other at the bottom.",0,0,0,1,2,Greek,ZImageTurbo,Alpha 0.3.0,,"'He alone could read the flight of birds, and told the Greeks what the gods demanded before the fleet could sail.'"
"Sinon the Deceiver",Being,"Human, Spy","On enter: Move this card to the opponent's side of this location. While on top: The opponent must play with their hand revealed.",0,0,0,1,0,Greek,ZImageTurbo,Alpha 0.3.0,,"'He stood before the Trojans, hands bound, and told them exactly enough of the truth to be believed.'"
"Greek Soldiers",Being,"Human, Soldier","When Greek Soldiers move to the opponent's side of this location: For that opponent, you may destroy up to five of their beings with Power [1] or less.",0,0,0,1,3,Greek,ZImageTurbo,Alpha 0.3.0,,"'In the darkness of the horse's belly we waited, crouched, armed, silent. Sinon's torch was the signal.'"
"Dolon the Scout",Being,"Human, Spy","On enter: Move this card to the opponent's side of this location. While on top: Once per turn you may look at the top card of the opponent's deck and choose to put it on the bottom.",0,0,0,2,-2,Greek,ZImageTurbo,Alpha 0.3.0,,"'He wore the wolf-skin and went out alone into the dark, certain no one would catch him. He was wrong.'"
"Menelaus, the Wronged King",Being,"Human, Hero, King","While on top: This card has +2 Power for each card the opponent controls more than you at this location.",0,0,0,2,3,Greek,ZImageTurbo,Alpha 0.3.0,,"'Ten years. Not for glory. Not for Agamemnon's pride. He simply refused to be the man whose wife left and who did nothing.'"
"Camp Guard at the Ships",Being,"Human, Sentry","On enter: Draw 1 card. If you control a card on the opponent's side of the location, draw 2 cards instead.",0,0,0,2,4,Greek,ZImageTurbo,Alpha 0.3.0,,"'His orders were simple: watch the plain, and shout if the fires moved.'"
"Epeius, Builder of the Horse",Being,"Human, Artisan","On enter: Draw 'The Trojan Horse'.",0,0,0,2,4,Greek,ZImageTurbo,Alpha 0.3.0,,"'Athena herself guided his hands. He wept as he built it, knowing what it was for.'"
"Odysseus",Being,"Human, Hero","While on top: Once per turn, you may move Odysseus to another location.",0,0,0,3,6,Greek,ZImageTurbo,Alpha 0.3.0,,"'He is never at a loss. That is what makes him dangerous.'"
"Patroclus",Being,"Human, Hero","On enter and if Achilles is in play: For each opponent destroy an enemy Being here with Power equal to or less than Patroclus.",0,0,0,3,5,Greek,ZImageTurbo,Alpha 0.3.0,,"'He put on Achilles' armour, and the Trojans broke before him — until they didn't.'"
"The Trojan Horse",Artefact,Structure,"On enter: Move this card to the opponent's side of this location. Whenever it moves to the opponent's side: You may move any number of your Humans with it. Flip them face-down; they have −6 Power.",0,0,0,4,1,Greek,ZImageTurbo,Alpha 0.3.0,,"'They brought it inside themselves. That was always the plan.'"
"Ajax, the Great",Being,"Human, Hero","While on top: Your Beings here cannot be moved by opponent card effects.",0,0,0,4,8,Greek,ZImageTurbo,Alpha 0.3.0,,"'He gave ground for nothing and no one. When the others fled to the ships, Ajax walked backwards, facing the enemy.'"
"Agamemnon, King of Mycenae",Being,"Human, Hero, King","While on top: The opponent can have a maximum of 3 cards on their side of this location.",0,0,0,4,7,Greek,ZImageTurbo,Alpha 0.3.0,,"'He was not the greatest warrior, nor the wisest. He was simply the one no one could ignore — and he never let them forget it.'"
"Achilles",Being,"Human, Hero","On enter: For each opponent, destroy an enemy Being here with Power equal to or less than Achilles. If Patroclus is in the underworld: For each opponent, destroy the strongest enemy Being here instead.",0,0,0,5,8,Greek,ZImageTurbo,Alpha 0.3.0,,"'He knew he would not return. He chose to come anyway.'"
"Diomedes, the God-Smiter",Being,"Human, Hero","While on top: For each opponent, their strongest deity's power here is counted as 0.",0,0,0,5,8,Greek,ZImageTurbo,Alpha 0.3.0,,"'He drove his spear into Ares, and the war god screamed. Even gods can bleed.'"
