Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID
Skydancer Ascendant,Creature,Dragonkin Harpy,On Revive: Get two mana crystals.,0,0,1,0,2,llama3.2:3b,Sana:0.6b,Alpha 0.1.0,163T7hyVpu3
Mossborn Sprite,Creature,Fey Sprite,,0,0,0,0,1,llama3.2:3b,Sana:0.6b,Alpha 0.1.0,hWbujMlhog8
Whispering Currents,Creature,Water Elemental,While on top: You may move this creature once during each of your turns.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.3,24YFzHo5kGU
Aquarian Siren,Creature,Siren,On Play: Draw a card. Put one card from your hand on top of your deck.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,FyuDLZcGBbB
Tidal Glimmer,Creature,Aquarius,On Return: Move any creature.,0,1,0,0,2,llama3.2:3b,Sana:0.6b,Alpha 0.1.0,bDrWuKIxWDo
Abyssal Oracle,Creature,Mythic,On Return: Draw two cards.,0,1,0,0,2,llama3.2:3b,Sana:0.6b,Alpha 0.1.0,b-R4RXDt-Yr
Aquasail,Creature,Sea Serpent,On Play: Move one of your other creatures to here.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,HjFdPl-Vhio
Arcane Disruptor,Creature,Human Sorcerer,On Play: Your next on play effect played this turn does not trigger.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,PHyIZ2mcHYX
Driftwood Seraphim,Creature,Woodland Spirit,On Move: Return an enemy creature at the new location with mana cost of one or lower to their owner's hand.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,m6uvOgD2u1H
Ephemeral Sentinel,Creature,Illusion,On Destruction: Return an enemy creature here to their hand.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,MvH1MkYkqOv
Mnemosyne's Suggestion,Creature,Illusion,On Play: Look at the top three cards of your deck.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,amL65Vblsue
Moonlit Ephemera,Creature,Spirit,While in your graveyard: You may return this creature to your hand anytime.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,RFUjXRqIoIz
Murmuring Aegis,Creature,Elemental Guardian,While on top: You may return this creature to your hand anytime.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,iuZ3as2uJMY
Azure Sentinel,Creature,Dragon,"At the end of each turn, your opponent (sitting on your left) may move this creature.",0,1,0,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.2,xXkyEUpkmJ6
Kairos Whisper,Creature,Air Elemental,Additional cost: Put a card from your hand on top of your deck.,0,1,0,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,6qCLPdJaYDU
Whispering Sprite,Creature,Air Elemental,On Play: You may return any other friendly creature with a mana cost of two or less to your hand.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.2,ydlE6RpH0zS
Moonlit Whisperer,Creature,Beast/Witch,On Draw: Draw a card,0,2,0,0,1,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,Mv7jlpi89tZ
Nimbus Specter,Creature,Soul,On Play: Draw a card.,0,2,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,xuSdARDAHAA
Luminari,Creature,Spirit,Additional cost: Return any other friendly creature to your hand.,0,2,0,0,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,4kouxXdTX7a
Maelstrom Whisper,Creature,Aquatic Fae,"While on top: Whenever you draw a card, draw an additional card.",0,3,0,0,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,vp8Y6DJ3iIv
Kage Shinobi,Creature,Yokai Golem,On Play: Destroy an enemy creature here with a mana cost of two or less.,1,0,0,0,-1,llama3.2:3b,Sana:0.6b,Alpha 0.1.1,WaWqr2msyol
Ember Scout,Creature,Beast,You may destroy this in your turn.,1,0,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,4W_jzBMeGV8
Infernal Harbinger,Creature,Demon,"On Play: If you have discarded one or more cards this turn, return one of them to your hand.",1,0,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,0bqUHzQzo2o
Ember Spark,Creature,Fiend,On Discard: Draw a card.,1,0,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,B5pBtjWyu7N
Inferno Wisp,Creature,Dragonkin,On Destruction: All opponents must discard two cards.,1,0,0,2,2,llama3.2:3b,Sana:0.6b,Alpha 0.1.1,9OCqaO2ugik
Pyropeon,Creature,Orc,On Destruction: Destroy an enemy creature here.,1,0,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,RY8ZrevaPwP
Kairos Ignis,Creature,Qilin,Additional cost: Discard a card.,1,0,0,0,3,llama3.2:3b,Sana:0.6b,Alpha 0.1.1,zRoaaqimk6C
Aetherwave Sprite,Creature,Spirit,Additional cost: Sacrifice one of your mana crystals. Cannot be played on your last turn.,2,0,0,0,7,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,IeiZUsl6CVM
Khaosflux,Creature,Mythical,On Return: Destroy an enemy creature here.,1,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,uQEPfVP7Um0
Khronokeeper,Creature,Chronomancer,On Draw: You may discard a card. On Play: Draw a card.,1,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,2Ti-r90aijI
Murmur of the Abyssal Depths,Creature,Void,On Draw: You may discard a card.,1,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,tIO0oiimoF-
Aetherflame Archmage,Creature,Archmage,On Play: Draw a card and discard a card.,1,1,0,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,6gp8YTdzqwp
Aethonix Wraith,Creature,Incorporeality,"While on top: Whenever you destroy a creature, draw a card.",1,1,0,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,D4G92lJTnsw
Khronos Whisperer,Creature,Mythic Beast,On Destruction: Draw three cards.,1,1,0,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,XAap98w3j4l
Maelstrom Sprite,Creature,Air Elemental,On Destruction: Return any enemy creature to their hand.,1,1,0,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,6sEFbf-KdfH
Maelstrom Wraith,Creature,Sea Spirit,On Revive: Return all enemy creatures here to their owners' hand.,1,1,0,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,Kv6Og3c-oby
Khaos Scourge,Creature,Undead Fiend,On Destruction: Return all enemy creatures here to their hand.,1,2,0,0,6,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,1dfD-lLElSk
Emberkin,Creature,Insect,"On Play: For every card you have discarded this turn, each opponent must destroy one of their creatures.",2,0,0,0,-5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,ftXfZFcoKxf
Inferno Spark,Creature,Fire,On Play: All players must discard a card.,2,0,0,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,yhtTn1lD36N
Ember Scourge,Creature,Insect,On Discard: All enemies must discard a card.,1,0,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,5VmDTVdPG7C
Inferno Reaver,Creature,Beast/Monstrosity,On Play: Destroy the next card you play here this turn.,2,0,0,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,S7DA7B4O6kP
Pyrebrand,Creature,Fiend,On Discard: Destroy a creature with a mana cost of three or less.,2,0,0,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,bh6KkxDH6w5
Pyrebound Harbinger,Creature,Demon Fiend,As an additional cost to play this creature: Destroy all your other creatures here (must destroy at least one).,2,0,0,0,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,a1a_tX5NfMz
Flamebringer,Creature,Dragon,Must be played at turn three or earlier. While on top: You can't play creatures here.,2,0,0,0,7,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,9Pkkql6Ar1Q
Arcana Devourer,Creature,Mythical,On Play: Destroy all your other creatures here. For each destroyed draw a card.,2,1,0,0,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,PlxHzsmYJtt
Terraverde,Creature,Forest Beast,May be played on a full location.,0,0,1,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,cz1K1hS3w3F
Treelord Sprout,Creature,Leshy,"On Play: Reveal the top card of your deck. If it costs one or less, play it for free.",0,0,1,0,1,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,k2bHzVFpeUz
Khaosborn Stalwart,Creature,Basilisk Minotaur,On Play: The next creature you play this turn costs two green mana less.,0,0,1,0,1,llama3.2:3b,Sana:0.6b,Alpha 0.1.0,C-VCcdNCG3f
Curious Explorer,Creature,Squirrel,On Play: Change the colors of up to two of your mana crystals.,0,0,1,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,GcCUdJK0jjY
Elder Bramble,Creature,Dryad,"While on top: Whenever you revive a creature, get a mana crystal.",0,0,1,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,2X5WzJsR4eE
Foliar Vigilant,Creature,Plants,On Play: You may put up to three creatures from your graveyard on top of your deck.,0,0,1,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,YGri_RP5cNw
Leafcaller's Vigilance,Creature,Mythical Beast,On Play: Put the top two cards of your deck into your graveyard.,0,0,1,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,-WdAKBX0X-9
Sapling Sentinel,Creature,Dryad,On Play: Draw up to two cards from your graveyard.,0,0,1,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,fE-L58Q24Jz
Yamabito,Creature,Giant,On Play: Change the color of an enemy's mana.,0,0,1,0,2,llama3.2:3b,Sana:0.6b,Alpha 0.1.0,WJiwSnZlEyp
Aquari Guardian,Creature,Aquari,On Return: Get a mana crystal.,0,1,1,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,lBmC8G2cHhN
Aquari Empress,Creature,Aquatic Elemental,On Revive: Draw three cards.,0,1,1,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,9jRBEweykH1
Moonwhisper Avatar,Creature,Mythic,On Return: You may play this creature for free next turn.,0,1,1,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,zNx2eCbq2IU
Mysterious Egg,Creature,Egg,On Destruction: Revive a creature.,1,0,1,0,0,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,cAvRsSRTbj8
Corpse Larva,Creature,Insect,On Play: Put the top three cards of an enemy's deck in their graveyard.,1,0,1,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,_oaahqDHe0R
Crystalbane Sprout,Creature,Elemental Beast,On Destruction: Get a mana crystal.,1,0,1,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,RBdgav2k5xs
Soulforged Revenant,Creature,Undead Sorcerer,Additional cost: Sacrifice a mana crystal. Revive a creature.,1,0,1,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,9sVIAjqSYAB
Khaos Reaver,Creature,Mythic,On Play: Repeat one of your 'On Play' effects here.,1,1,1,0,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,_KDTY1P53DX
Elder Whisperer,Creature,Sage,On Play: Swap one of your other creatures here with a creature in your graveyard.,0,1,2,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,3YnFr3jHdwj
Aquasage,Creature,Siren,On Play: Swap one of your other creatures from this location with the top card of your deck.,0,2,2,0,7,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,Q_yY2bGzr72
Flamewyrm,Creature,Inferno Dragon,"On Revive: Destroy all other creatures here, except the creature(s) with the most power.",2,0,2,0,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,CCgK4cEupsz
Infernal Scourge,Creature,Infernal,On Play: Destroy all your other creatures here. For each destroyed gain a mana crystal.,2,0,2,0,7,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,tyASm9fK038
Sylvan Harmonizer,Creature,Elf Druid,On Play: Other creatures you play on this location this turn cost one colorless mana less.,0,0,3,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,6hM0mixCPEn
Mana Multiplier,Creature,Kitsune Yurei,"While on top: Whenever a card effect gives you an extra mana crystal, get an additional mana crystal.",0,0,3,0,5,llama3.2:3b,Sana:0.6b,Alpha 0.1.2,6RtTJqXgVOv
Terraguardian,Creature,Earth Elemental,,0,0,0,1,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,eWJifBNQn-m
Moonlit Sprite Guardian,Creature,Spirit,On Move: Draw a card.,0,1,0,1,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,loyicJOUXIj
Zephyrine,Creature,Water Elemental,On Draw: You may move one of your creatures.,0,1,0,1,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,Au3pH9jan81
