Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"The Great Sumerian Deluge",Catastrophe,Flood,"Put this aside at the start of the game. The first time there are 8 or more humans in play, the flood happens at the end of that turn. The Flood: Banish all humans.",0,0,0,0,0,Akkadian,ZImageTurbo,Alpha 0.3.0,,"'The noise of mankind has become too much. I am disturbed by their uproar. Sleep no longer comes to me.' — Enlil, before the council"
"Cuneiform Tablets of Ea",Artefact,Tablet,"On enter: Search your deck for 'The Ark' and add it to your hand. While on top: You may discard a card to look at the top 3 cards of your deck and arrange them in any order.",0,0,0,1,0,Akkadian,ZImageTurbo,Alpha 0.3.0,,'Take the design of the ship I draw for you on the ground! Let its dimensions be measured exactly...'
"Flies",Being,"Insect","If a being left the world this turn, you may play this for free.",0,0,0,1,2,Akkadian,ZImageTurbo,Alpha 0.3.0,,"They come where something has ended. They are never far behind."
"Slave",Being,"Human","While on top: You may banish this to play your next artefact this turn for [2] less.",0,0,0,1,1,Akkadian,ZImageTurbo,Alpha 0.3.0,,"His hands know the weight of stone and brick. He has built the city. He will not be remembered in it."
"Shepherd",Being,"Human","On enter: The next human you play costs [1] less.",0,0,0,1,1,Akkadian,ZImageTurbo,Alpha 0.3.0,,"Where he walks, others follow. He does not ask them to."
"Farmer",Being,"Human","On enter: Play another 1 cost human for free.",0,0,0,1,1,Akkadian,ZImageTurbo,Alpha 0.3.0,,"The field is never worked alone. One calls to his neighbor, and his neighbor comes."
"Fisherman",Being,"Human","On enter: Draw two humans from your underworld.",0,0,0,2,3,Akkadian,ZImageTurbo,Alpha 0.3.0,,"He casts his net into the dark water and pulls out what the deep sees fit to return."
"Sacrificer at the Altar",Being,"Human, Priest","On enter: If the flood would happen at the end of this turn, it happens at the end of your next turn instead.",0,0,0,2,4,Akkadian,ZImageTurbo,Alpha0.3.0,,"The gods are not easily turned. But they can be made to wait."
"Weeping Mother Goddess",Being,"Deity","On enter: Choose one of your humans with a cost of [2] or less and return it to its owner's hand.",0,0,0,2,4,Akkadian,ZImageTurbo,Alpha 0.3.0,,"'How could I have agreed to destroy my own children in the council of gods?' She would not be consoled."
"Shipbuilder",Being,"Human","While on top: Artifacts you play cost [1] less.",0,0,0,2,3,Akkadian,ZImageTurbo,Alpha 0.3.0,,"He has never asked what the ship is for. He asks only whether the joints will hold."
