Name,Type,Effect,Green,Red,Blue,Colorless,Power,Artist,Edition,ID
,Equipment,"If equipped creature would be destroyed, destroy this equipment instead.",0,0,1,0,,,Alpha 0.1.0,
,Equipment,"If equipped creature is destroyed, revive it.",1,0,0,0,,,Alpha 0.1.0,
,Equipment,"If equipped creature is destroyed, return it instead.",1,0,0,0,,,Alpha 0.1.0,
,Equipment,"If equipped creature is targeted by any effect, destroy it instead.",0,1,0,0,,,Alpha 0.1.0,
,Equipment,"Any effect targeting equipped creature gets copied.",0,0,2,0,,,Alpha 0.1.0,
,Equipment,"Equipped creature always stays on top.",0,0,2,0,,,Alpha 0.1.0,
,Equipment,"Equipped creature is immune from all effects.",0,0,2,0,,,Alpha 0.1.0,
,Equipment,"You may move equipped creature at the end of each of your turns.",0,0,1,0,,,Alpha 0.1.0,
,Equipment,"If equipped creature is destroyed: Treat this card as a creature with 6 power.",0,0,1,0,6,,Alpha 0.1.0,
,Equipment,"Equipped creature has +3 power.",0,0,0,1,2,,Alpha 0.1.0,
,Equipment,"Equipped creature has +1 power.",0,0,0,0,1,,Alpha 0.1.0,
,Equipment,"If the power of equipped creature is negative, turn it positive.",0,0,0,1,0,,Alpha 0.1.0,
,Equipment,"If equipped creature is at a full location, you may .",0,0,0,1,0,,Alpha 0.1.0,
