Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID
Aquarian Siren,Creature,Siren,On Play: Draw a card. Put one card from your hand on top of your deck.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,FyuDLZcGBbB
Arcane Disruptor,Creature,Human Sorcerer,On Play: Your next on play effect played this turn does not trigger.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,PHyIZ2mcHYX
Ephemeral Sentinel,Creature,Illusion,On Destruction: Return an enemy creature here to their hand.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,MvH1MkYkqOv
Mnemosyne's Suggestion,Creature,Illusion,On Play: Look at the top three cards of your deck.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,amL65Vblsue
Moonlit Ephemera,Creature,Spirit,While in your graveyard: You may return this creature to your hand anytime.,0,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,RFUjXRqIoIz
Azure Sentinel,Creature,Dragon,"At the end of each turn, your opponent (sitting on your left) may move this creature.",0,1,0,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.2,xXkyEUpkmJ6
Kairos Whisper,Creature,Air Elemental,Additional cost: Put a card from your hand on top of your deck.,0,1,0,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,6qCLPdJaYDU
Moonlit Whisperer,Creature,Beast/Witch,On Draw: Draw a card,0,2,0,0,1,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,Mv7jlpi89tZ
Maelstrom Whisper,Creature,Aquatic Fae,"While on top: Whenever you draw a card, draw an additional card.",0,3,0,0,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,vp8Y6DJ3iIv
Inferno Wisp,Creature,Dragonkin,On Destruction: All opponents must discard two cards.,1,0,0,2,2,llama3.2:3b,Sana:0.6b,Alpha 0.1.1,9OCqaO2ugik
Aetherwave Sprite,Creature,Spirit,Additional cost: Sacrifice one of your mana crystals. Cannot be played on your last turn.,2,0,0,0,7,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,IeiZUsl6CVM
Khronokeeper,Creature,Chronomancer,On Draw: You may discard a card. On Play: Draw a card.,1,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,2Ti-r90aijI
Murmur of the Abyssal Depths,Creature,Void,On Draw: You may discard a card.,1,1,0,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,tIO0oiimoF-
Aetherflame Archmage,Creature,Archmage,On Play: Draw a card and discard a card.,1,1,0,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,6gp8YTdzqwp
Aethonix Wraith,Creature,Incorporeality,"While on top: Whenever you destroy a creature, draw a card.",1,1,0,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,D4G92lJTnsw
Khronos Whisperer,Creature,Mythic Beast,On Destruction: Draw three cards.,1,1,0,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,XAap98w3j4l
Maelstrom Sprite,Creature,Air Elemental,On Destruction: Return any enemy creature to their hand.,1,1,0,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,6sEFbf-KdfH
Maelstrom Wraith,Creature,Sea Spirit,On Revive: Return all enemy creatures here to their owners' hand.,1,1,0,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,Kv6Og3c-oby
Khaos Scourge,Creature,Undead Fiend,On Destruction: Return all enemy creatures here to their hand.,1,2,0,0,6,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,1dfD-lLElSk
Inferno Reaver,Creature,Beast/Monstrosity,On Play: Destroy the next card you play here this turn.,2,0,0,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,S7DA7B4O6kP
Flamebringer,Creature,Dragon,Must be played at turn three or earlier. While on top: You can't play creatures here.,2,0,0,0,7,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,9Pkkql6Ar1Q
Arcana Devourer,Creature,Mythical,On Play: Destroy all your other creatures here. For each destroyed draw a card.,2,1,0,0,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,PlxHzsmYJtt
Curious Explorer,Creature,Squirrel,On Play: Change the colors of up to two of your mana crystals.,0,0,1,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,GcCUdJK0jjY
Foliar Vigilant,Creature,Plants,On Play: You may put up to three creatures from your graveyard on top of your deck.,0,0,1,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,YGri_RP5cNw
Leafcaller's Vigilance,Creature,Mythical Beast,On Play: Put the top two cards of your deck into your graveyard.,0,0,1,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,-WdAKBX0X-9
Sapling Sentinel,Creature,Dryad,On Play: Draw up to two cards from your graveyard.,0,0,1,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,fE-L58Q24Jz
Yamabito,Creature,Giant,On Play: Change the color of an enemy's mana.,0,0,1,0,2,llama3.2:3b,Sana:0.6b,Alpha 0.1.0,WJiwSnZlEyp
Aquari Guardian,Creature,Aquari,On Return: Get a mana crystal.,0,1,1,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,lBmC8G2cHhN
Aquari Empress,Creature,Aquatic Elemental,On Revive: Draw three cards.,0,1,1,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,9jRBEweykH1
Moonwhisper Avatar,Creature,Mythic,On Return: You may play this creature for free next turn.,0,1,1,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,zNx2eCbq2IU
Mysterious Egg,Creature,Egg,On Destruction: Revive a creature.,1,0,1,0,0,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,cAvRsSRTbj8
Corpse Larva,Creature,Insect,On Play: Put the top three cards of an enemy's deck in their graveyard.,1,0,1,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,_oaahqDHe0R
Crystalbane Sprout,Creature,Elemental Beast,On Destruction: Get a mana crystal.,1,0,1,0,3,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,RBdgav2k5xs
Khaos Reaver,Creature,Mythic,On Play: Repeat one of your 'On Play' effects here.,1,1,1,0,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,_KDTY1P53DX
Elder Whisperer,Creature,Sage,On Play: Swap one of your other creatures here with a creature in your graveyard.,0,1,2,0,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,3YnFr3jHdwj
Aquasage,Creature,Siren,On Play: Swap one of your other creatures from this location with the top card of your deck.,0,2,2,0,7,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,Q_yY2bGzr72
Infernal Scourge,Creature,Infernal,On Play: Destroy all your other creatures here. For each destroyed gain a mana crystal.,2,0,2,0,7,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,tyASm9fK038
Sylvan Harmonizer,Creature,Elf Druid,On Play: Other creatures you play on this location this turn cost one colorless mana less.,0,0,3,0,2,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,6hM0mixCPEn
Nullstone Warden,Creature,Mystic Guardian,On Play: The next on play effect you play this turn not trigger.,0,1,0,1,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,ImLsdxj2hn-
Whisperwind Spirit,Creature,Sylph,"While on top: Whenever a creature with lower power than this is played here, you may return it to its owners hand. Only triggers once each turn.",0,2,0,1,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,qSIACK8roL8
Ultramarine Titan,Creature,Mythical,On Play: Move any creature.,0,2,0,1,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,Eos33bTlt04
Devourer of Shadows,Creature,Tariaksuq,On Play: All enemies must destroy one of their creatures.,1,0,0,1,-1,llama3.2:3b,Sana:0.6b,Alpha 0.1.0,TMotVDN__Hu
Chaotic Mindshaper,Creature,Illusionist,On Play: Draw two cards and discard a card.,1,1,0,1,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,1zhTeNCNGxM
Infernoheart,Creature,Infernal Beast,"While on top: Whenever you discard a card, draw a card.",1,1,0,1,4,Llama3.2:3b,Sana:0.6b,Alpha 0.1.1,hFsmRb_cv9y
The Devourer,Creature,Storm Dragon,On Return: Destroy any enemy creature.,1,1,0,1,6,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,_N0gP2qAwDl
Ember Wrecker,Creature,Inferno Beast,On Play: Destroy all your other creatures here.,2,0,0,1,5,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,Hi_dU61GmJt
Fatebinder Seer,Creature,Oracle,On Play: Draw three cards and discard three cards.,2,2,0,1,9,Llama3.2:3b,Sana:0.6b,Alpha 0.1.0,ha4Nz78ojVo
