Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"The Great Flood",Structure,"Natural Disaster","On draw: Put this into play with 3 flood tokens. At the start of each round, remove a token. When the last token is removed: banish all beings at locations without a Dam, then discard this card.",0,0,0,0,0,Chinese,Milo,Alpha 0.2.0,,"The waters rose until the hills were submerged. No one directed the flood — it simply came."
"Yu's Laborer",Being,Human,"On enter: If you control a Dam at this location, draw a card.",0,0,0,1,2,Chinese,Milo,Alpha 0.2.0,,"They worked without rest, eating while standing, sleeping on the bare earth."
"Flood Worker",Being,Human,"On enter: You may put a Dam from your hand into play at any location.",0,0,1,0,2,Chinese,Milo,Alpha 0.2.0,,"For thirteen years, ten thousand laborers dug channels, their hands worn to bone."
"Yu's Steward",Being,Human,"On enter: Draw a Dam from your deck. While on top: If you control 3 Dams, draw a card at the start of your turn.",0,1,1,0,3,Chinese,Milo,Alpha 0.2.0,,"Yi, Yu's minister, kept records of every worker and every fathom of earth moved."
"Black Tortoise, Earth Guardian",Being,Spirit,"On enter: If you control a Dam at this location, put a Dam from your underworld into your hand. While on top: Dams you control cannot be moved.",0,0,2,0,5,Chinese,Milo,Alpha 0.2.0,,"The divine tortoise emerged bearing the magical soil that could absorb any flood."
"First Dam (Left)",Structure,Dam,"On enter: Put this at the left location. While here: Your beings here cannot be moved by opponent effects.",0,0,2,0,0,Chinese,Milo,Alpha 0.2.0,,"The first dam anchored the left flank of the land, turning the Yellow River's wrath aside."
"Second Dam (Middle)",Structure,Dam,"On enter: If you control a Dam at the left location, put this at the middle location. While here: Your beings here cannot be returned to hand by opponent effects.",0,0,2,0,0,Chinese,Milo,Alpha 0.2.0,,"The middle channel tamed, the floodwaters at last found their proper course to the sea."
"Third Dam (Right)",Structure,Dam,"On enter: If you control Dams at both other locations, put this at the right location. While here: Your beings here cannot be banished by opponent effects.",0,0,2,0,0,Chinese,Milo,Alpha 0.2.0,,"When the third dam stood, the Nine Provinces knew peace for the first time in living memory."
"Jade Maiden, Spirit of the River",Being,Spirit,"On enter: If you control a Dam at this location, draw a card. While on top: Your beings here cannot be banished.",0,1,2,0,4,Chinese,Milo,Alpha 0.2.0,,"The river maidens guided Yu's path, marking where the floodwaters must be turned aside."
"Yu's Engineer",Being,Human,"On enter: You may move a Dam you control to any location. While on top: If you control 3 Dams, your beings here cannot be banished.",0,0,2,1,4,Chinese,Milo,Alpha 0.2.0,,"He surveyed every mountain and valley in the Nine Provinces before a single stone was moved."
"Dragon Turtle, Floodbeast",Being,Monster,"On enter: If you control fewer than 3 Dams, each opponent discards a card. While on top: You may banish this being to draw a Dam from your deck.",0,0,2,1,5,Chinese,Milo,Alpha 0.2.0,,"The River Earl sent his dragon turtle to carry the survey lines across the flooded lands."
"River Serpent",Being,Monster,"On enter: If you control fewer than 3 Dams, each opponent returns a being to their hand. While on top: You may banish this being to play a Human from your hand for free.",0,0,2,1,5,Chinese,Milo,Alpha 0.2.0,,"The great river serpents rose when the floods were uncontrolled, sinking ships and consuming livestock."
"Gonggong, the Water Fiend",Being,Monster,"On enter: If you control fewer than 3 Dams, each opponent banishes one of their beings. While on top: You may banish this being to put a Dam from your deck into play at any location.",0,2,0,2,6,Chinese,Milo,Alpha 0.2.0,,"In his rage, Gonggong struck Mount Buzhou and shattered the pillar of the sky, tilting heaven and earth."
"Xiangliu, the Nine-Headed",Being,Monster,"On enter: If you control fewer than 3 Dams, each opponent banishes their being with the highest power. While on top: You may banish this being to put a Dam from your hand into play for free.",0,2,0,2,7,Chinese,Milo,Alpha 0.2.0,,"Nine-headed Xiangliu left nine poisoned marshes wherever its blood fell. Even in death it corrupted the earth."
"Yu the Great, Flood Tamer",Being,Legend,"On enter: Draw a Dam from your deck. If you control a Dam at every location, draw 3 cards instead.",0,2,1,1,6,Chinese,Milo,Alpha 0.2.0,,"For thirteen years he labored, passing his own home three times without once entering."
