Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID
"Ra, the Rising Sun",Being,"Deity","When you play Ra, put them into the underworld.",0,0,0,1,5,Egyptian,Qwen3,Alpha 0.2.0,
"Khepri, the Dawn Scarab",Being,"Insect","On Enter: Return Ra from the graveyard to the left location.",0,0,0,1,2,Egyptian,Qwen3,Alpha 0.2.0,
"Sia, God of Perception",Being,"Deity","While on top: If Ra is in the middle location. Double your power here.",0,0,0,2,2,Egyptian,Qwen3,Alpha 0.2.0,
"Hu, God of Divine Words",Being,"Deity","On enter: Move one of your beings.",0,0,0,1,2,Egyptian,Qwen3,Alpha 0.2.0,
"Apophis, Devourer of Souls",Being,"Deity","On enter: Banish your Ra.",0,0,0,5,5,Egyptian,Qwen3,Alpha 0.2.0,
"Seth, Storm of Chaos",Being,"Deity","On enter: Banish your Ra.",0,0,0,3,3,Egyptian,Qwen3,Alpha 0.2.0,
"Anubis, Weigher of Hearts",Being,"Deity","On enter: For each opponent, banish one of their beings at Ra's location.",0,0,0,4,3,Egyptian,Qwen3,Alpha 0.2.0,
"Osiris, Lord of Rebirth",Being,"Deity","On enter: Revive a being.",0,0,0,5,4,Egyptian,Qwen3,Alpha 0.2.0,
"Sekhmet, Lioness of War",Being,Deity,"On Enter: If Ra is at the left location, destroy a being with 2 or less power here.",2,0,0,1,4,Egyptian,Qwen3,Alpha 0.2.0,
"Thoth, Keeper of Secrets",Being,Deity,"While on top: If Ra is in the middle location, draw a card at the start of your turn.",0,1,0,2,2,Egyptian,Qwen3,Alpha 0.2.0,
"Ma'at, Goddess of Balance",Being,Deity,"While on top: Ra cannot be banished or moved by opponent effects.",0,0,1,3,3,Egyptian,Qwen3,Alpha 0.2.0,
"Horus, Sky's Avenger",Being,Deity,"On Enter: If Ra is at the right location, deal 3 damage to an opposing being.",1,0,0,3,4,Egyptian,Qwen3,Alpha 0.2.0,
"Bastet, Protector of Ra",Being,Deity,"While on top: Ra cannot be banished while at the same location as Bastet.",0,0,1,2,3,Egyptian,Qwen3,Alpha 0.2.0,
"Geb, God of Earth",Being,Deity,"On Enter: If Ra is at the left location, move them to the middle location.",0,0,1,2,3,Egyptian,Qwen3,Alpha 0.2.0,
"Nephthys, Guide of the Dead",Being,Deity,"On Enter: If Ra is in the graveyard, return them to the left location.",0,1,0,2,2,Egyptian,Qwen3,Alpha 0.2.0,
