Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Anubis, the Embalmer",Being,"Deity, Underworld","On enter: Put the top 2 cards of your deck into your underworld.",0,0,0,1,2,Egyptian,ZImageTurbo,Alpha 0.3.0,,"He who is upon his mountain wrapped the body in fine linen and anointed it with oils. So the first mummy was made, and death became a door."
"Sacred Scarab",Being,"Insect","When this enters the underworld from your hand or deck, you may revive it.",0,0,0,1,2,Egyptian,ZImageTurbo,Alpha 0.3.0,,"Kheper — that which comes into being by itself. Out of the dark it rolls the sun before it, and every morning is the first morning."
"Ushabti",Being,"Servant","While on top: +1 power for each being in your underworld.",0,0,0,1,2,Egyptian,ZImageTurbo,Alpha 0.3.0,,"'O ushabti, if the dead are called to labour in the Field of Reeds, you shall say: Here I am. I will do it.'"
"Wepwawet, Opener of the Ways",Being,"Deity, Underworld","When this enters the underworld from your hand or deck, draw two cards.",0,0,0,1,3,Egyptian,ZImageTurbo,Alpha 0.3.0,,"The jackal goes before the dead, and where he has walked, the roads of the Duat lie open."
"Isis, Mistress of Magic",Being,"Deity","On enter: If 'Osiris, the Slain King' is in your underworld, you may banish a friendly being to revive him.",0,0,0,2,3,Egyptian,ZImageTurbo,Alpha 0.3.0,,"In a boat of papyrus she searched the marshes, and wherever she found a piece of him, she buried it. Thirteen pieces she gathered. The fourteenth, the fish had eaten, and it was never found."
"Nephthys, the Mourner",Being,"Deity, Underworld","While on top: The first time a card enters your underworld each turn, draw a card.",0,0,0,2,5,Egyptian,ZImageTurbo,Alpha 0.3.0,,"The two sisters knelt at the bier, Isis at the head and Nephthys at the feet. 'Rise up,' they sang to him. 'You have not gone dead; you have gone alive.'"
"Bennu Bird",Being,"Bird","On enter: Draw two cards and discard two cards.",0,0,0,2,4,Egyptian,ZImageTurbo,Alpha 0.3.0,,"It came into being of itself and alighted on the benben stone, and its cry was the first sound. From its own burning it rises."
"Khonsu, the Moon",Being,"Deity","While on top: +3 power if there are 2 or more beings in your underworld.",0,0,0,2,4,Egyptian,ZImageTurbo,Alpha 0.3.0,,"Thoth played draughts against the Moon and won a seventy-second part of her light — five new days outside the year, on which Nut bore Osiris, Horus, Set, Isis and Nephthys."
"Four Sons of Horus",Being,"Deity, Underworld","On enter: Put the top 3 cards of your deck into your underworld.",0,0,0,2,5,Egyptian,ZImageTurbo,Alpha 0.3.0,,"Imsety, Hapy, Duamutef, Qebehsenuef: four jars, four guardians. What is taken from the body is not lost — it is kept."
"The Pillar of Byblos",Artefact,"Structure","On enter: Put 'Osiris, the Slain King' from your hand or deck into your underworld.",0,0,0,2,4,Egyptian,ZImageTurbo,Alpha 0.3.0,,"The chest came ashore at Byblos, and a tamarisk grew up around it. The king cut the tree for the pillar of his hall, not knowing that a god slept inside it."
"Thoth, Scribe of the Dead",Being,"Deity","On enter: Look at the top 3 cards of your deck. Put one into your hand and discard the rest.",0,0,0,3,6,Egyptian,ZImageTurbo,Alpha 0.3.0,,"He who reckons all things wrote down the verdict of the scales without anger and without mercy. It was he who spoke the words that raise the dead — for words, rightly spoken, are stronger than death."
"Ammit, Devourer of the Dead",Being,"Monster, Underworld","On enter: Revive a being.",0,0,0,4,3,Egyptian,ZImageTurbo,Alpha 0.3.0,,"Her head a crocodile, her forequarters a lion, her hindquarters a hippopotamus. She waits beside the scales, and the heart that weighs more than the feather she devours. That soul dies the second death, from which there is no rising."
"Horus, the Avenger",Being,"Deity, Falcon","On enter: For each opponent, destroy one of their beings here with power [4] or less. If 'Osiris, the Slain King' is in your underworld, destroy their strongest being here instead.",0,0,0,4,7,Egyptian,ZImageTurbo,Alpha 0.3.0,,"Eighty years the Ennead weighed the claim of the uncle against the claim of the son. In the end it was not the tribunal that decided, but the spear. 'I have avenged my father,' said Horus, and took the throne of the Two Lands."
"Set, the Usurper",Being,"Deity","On enter: For each opponent, banish one of their beings with a cost equal to or less than the number of beings in your underworld.",0,0,0,4,7,Egyptian,ZImageTurbo,Alpha 0.3.0,,"Seventy-two conspirators, and a chest built in secret to the measure of his brother's body. 'Whoever fits inside it,' said Set at the banquet, 'may keep it.' Osiris lay down in it, and the lid was nailed shut."
"Osiris, the Slain King",Being,"Deity, King, Underworld","On revive: Revive all other beings with a cost of [2] or less.",0,0,0,5,8,Egyptian,ZImageTurbo,Alpha 0.3.0,,"'You have gone, but you will return. You have slept, but you will awake. You have died, but you will live.' — And so he rose, first of the dead, and all the justified dead rise with him."
