Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Coast-Warden of the Danes",Being,"Human, Sentry","On enter: Draw 'Beowulf, Son of Ecgtheow' from your deck.",0,0,0,1,2,Old English,ZImageTurbo,Alpha 0.3.0,,"'What are you, armour-bearing men in mail-coats, who come sailing the sea-road? Never have shield-bearers landed here more openly.'"
"Scop of Heorot",Being,"Human, Poet","On enter: Draw a card. If 'Heorot, the Mead Hall' is in play, draw two cards instead.",0,0,0,1,1,Old English,ZImageTurbo,Alpha 0.3.0,,"'Clear sang the scop in Heorot, of the beginning of men — and out in the darkness, the song was torment to the one who waited.'"
"Danish Thanes",Being,"Human, Soldier","",0,0,0,1,2,Old English,ZImageTurbo,Alpha 0.3.0,,"'They slept in the hall after the beer-feast and knew no sorrow. They did not know how many of them would see morning.'"
"Unferth, the Envious",Being,"Human, Thane","While on top: Enemy heroes at this location have -1 Power.",0,0,0,1,1,Old English,ZImageTurbo,Alpha 0.3.0,,"'Are you the Beowulf who lost a swimming-match to Breca? He begrudged any man a glory greater than his own.'"
"Heorot, the Mead Hall",Artefact,"Structure","While on top: At the end of your turn, if you have a hero here, draw a card.",0,0,0,2,2,Old English,ZImageTurbo,Alpha 0.3.0,,"'The greatest of halls, gold-adorned and wide-gabled. Its light shone over many lands.'"
"Wealhtheow, Hostess of the Hall",Being,"Human, Queen","On enter: Revive a human with a cost of [2] or less.",0,0,0,2,3,Old English,ZImageTurbo,Alpha 0.3.0,,"'Gold-adorned she went among the men, offered the cup first to the king, then carried it to every warrior, old and young.'"
"Wiglaf, the Loyal",Being,"Human, Hero","On enter: If you have another hero here, draw two cards.",0,0,0,2,3,Old English,ZImageTurbo,Alpha 0.3.0,,"'Not one of the chosen companions stood by him in the fire — only Wiglaf. Kinship can never be set aside in a man who thinks rightly.'"
"Grendel",Being,"Fiend, Monster","Cannot be played at a location where you have heroes. Defeated when you have one or more heroes here. Reward: Draw 'Grendel's Mother' from your deck and draw a card.",0,0,0,2,4,Old English,ZImageTurbo,Alpha 0.3.0,,"'The grim spirit was called Grendel, walker of the borderlands. Thirty thanes he seized in their sleep and carried to his lair, exulting.'"
"Hrothgar, King of the Danes",Being,"Human, King","On enter: Draw a card for each monster in your underworld.",0,0,0,2,3,Old English,ZImageTurbo,Alpha 0.3.0,,"'Twelve winters the lord of the Scyldings suffered. No reward he promised could buy a man to face the fiend — until the Geat came.'"
"Breca, the Swimmer",Being,"Human, Hero","While on top: Once per turn, you may move Breca to another location.",0,0,0,3,5,Old English,ZImageTurbo,Alpha 0.3.0,,"'Five nights we swam together in the winter sea, swords bare in our hands against the whale-fishes.'"
"Grendel's Mother",Being,"Fiend, Monster","Cannot be played at a location where you have heroes. Defeated when you have two or more heroes here. Reward: Revive a being with a cost of [3] or less.",0,0,0,3,5,Old English,ZImageTurbo,Alpha 0.3.0,,"'A hundred half-years she ruled the cold currents, the mere-wife, mighty in her grief and greedy for vengeance.'"
"Beowulf, Son of Ecgtheow",Being,"Human, Hero","Beowulf counts as two heroes for defeating monsters.",0,0,0,3,5,Old English,ZImageTurbo,Alpha 0.3.0,,"'He had in his hand-grip the strength of thirty men. I scorn to bear a sword against this fiend, he said — and grappled bare-handed.'"
"Geatish Shield-Companions",Being,"Human, Soldier","",0,0,0,3,6,Old English,ZImageTurbo,Alpha 0.3.0,,"'Fourteen of the keenest he chose, and the fifteenth was himself. The ship went out over the wave-way, most like a bird.'"
"Hygelac, King of the Geats",Being,"Human, King","On enter: Revive a hero.",0,0,0,4,5,Old English,ZImageTurbo,Alpha 0.3.0,,"'He gave Beowulf seven thousand hides of land, a hall and a throne. To the brave, the ring-giver is never poor.'"
"The Fire-Dragon",Being,"Dragon, Monster","Cannot be played at a location where you have heroes. Defeated when you have two or more heroes here. Reward: You may play a card with a cost of [5] or less for free. Then banish your strongest hero here.",0,0,0,5,9,Old English,ZImageTurbo,Alpha 0.3.0,,"'Three hundred winters it held the hoard in the earth, until a thief woke its wrath. It began to spew flame — and that was the beginning of the end.'"
