Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Herald of the Hosts",Being,"Human, Herald","On enter: Draw 'Hildebrand, the Old' or 'Hadubrand, the Young' from your deck.",0,0,0,1,2,Old High German,ZImageTurbo,Alpha 0.3.0,,"'I heard it said that two chosen warriors, Hildebrand and Hadubrand, met alone between two armies.'"
"Hunnish Bowmen",Being,"Human, Soldier","",0,0,0,1,2,Old High German,ZImageTurbo,Alpha 0.3.0,,"'He fled eastward with Dietrich, away from Odoacer's hatred, and thirty years he rode in the host of the Huns.'"
"Ute, the Waiting Wife",Being,"Human","On enter: Return a human from your underworld to your hand.",0,0,0,1,1,Old High German,ZImageTurbo,Alpha 0.3.0,,"'He left a young wife weeping in the homeland, and a child without inheritance, and rode east.'"
"Shield-Bearer of Bern",Being,"Human, Soldier","On enter: The next hero you play this turn costs [1] less.",0,0,0,1,2,Old High German,ZImageTurbo,Alpha 0.3.0,,"'He carried his lord's linden shield to the mustering-field and asked no questions.'"
"Golden Arm-Rings",Artefact,"Treasure","On enter: Gift this card to an opponent. While on top: 'While on top' and 'Once per turn' abilities of the owner's other cards here are inactive.",0,0,0,2,0,Old High German,ZImageTurbo,Alpha 0.3.0,,"'He wound from his arm the twisted rings the king of the Huns had given him: Take this, with good will. — With the spear a man receives gifts, said the son, point against point.'"
"Old Chronicler",Being,"Human, Poet","On enter: Draw a card.",0,0,0,2,3,Old High German,ZImageTurbo,Alpha 0.3.0,,"'Ik gihorta dat seggen — I heard it told. That is all that remains: sixty-eight lines, and the ending lost.'"
"Rider from the East",Being,"Human, Messenger","On enter: You may move one of your beings to this location.",0,0,0,2,3,Old High German,ZImageTurbo,Alpha 0.3.0,,"'Always at the head of the host he rode, and battle was ever too dear to him. Known he was to all bold men.'"
"Suspicious Retainer",Being,"Human, Soldier","On enter: Choose an opponent. They reveal their hand.",0,0,0,2,3,Old High German,ZImageTurbo,Alpha 0.3.0,,"'You are an old Hun, endlessly cunning. Seafarers told me: Hildebrand is dead. — He would not believe the man standing before him.'"
"Hadubrand, the Young",Being,"Human, Hero","While on top: Hadubrand has +2 Power while an enemy hero is at this location.",0,0,0,2,3,Old High German,ZImageTurbo,Alpha 0.3.0,,"'You shall not take me with gifts, old Hun. You will not find me a coward.'"
"Band of Exiles",Being,"Human, Soldier","",0,0,0,2,4,Old High German,ZImageTurbo,Alpha 0.3.0,,"'Friendless men who fled the hatred of Odoacer rode east with nothing but their war-gear.'"
"Dietrich of Bern",Being,"Human, Hero, King","While on top: Your heroes at this location cannot be destroyed by enemy card effects.",0,0,0,3,5,Old High German,ZImageTurbo,Alpha 0.3.0,,"'With Dietrich he fled, and with Dietrich he returned; the old man had lost neither loyalty nor lord.'"
"Odoacer, the Usurper",Being,"Human, King","On enter: For each opponent, you may move one of their beings at this location to another location.",0,0,0,3,4,Old High German,ZImageTurbo,Alpha 0.3.0,,"'The hatred of Odoacer drove the best men from the land. What a king cannot rule, he scatters.'"
"The Duelling-Ground",Artefact,"Field","While on top: Each side counts only its strongest being's power at this location.",0,0,0,3,0,Old High German,ZImageTurbo,Alpha 0.3.0,,"'Between the two hosts a space was left, and the two champions rode into it alone. The armies grounded their spears to watch.'"
"Hildebrand, the Old",Being,"Human, Hero","On enter: For each opponent, destroy their topmost being at this location if its power is less than Hildebrand's.",0,0,0,4,6,Old High German,ZImageTurbo,Alpha 0.3.0,,"'Woe now, ruling God, a woeful fate is at work! Sixty summers and winters I wandered — and now my own child shall strike me with the sword, or I be his slayer.'"
"Champion of the Goths",Being,"Human, Hero, Warrior","",0,0,0,5,9,Old High German,ZImageTurbo,Alpha 0.3.0,,"'Let him who dares now win the war-gear of the man who falls. — Then they let the ash-spears fly, and hewed the white shields until the linden-wood grew small.'"
