Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID
"Hector, Defender of Troy",Being,Hero,"Ongoing: Friendly Beings at this location with a Power of 3 or less are immune.",0,0,0,3,5,Trojan,Milo,Alpha 0.2.0,ILIAD016
"Priam, King of Troy",Being,Leader,"On Enter: Put a Trojan Warrior from your deck into your hand.",0,0,0,2,3,Trojan,Milo,Alpha 0.2.0,ILIAD017
"Andromache, Hector's Wife",Being,Supporter,"Ongoing: If Hector is at this location, opposing beings cannot banish Trojan beings here. If Hector is banished, put a Trojan Warrior from your deck into play.",0,1,1,0,2,Trojan,Milo,Alpha 0.2.0,ILIAD018
"Paris, the Cowardly Prince",Being,Hero,"On Enter: Move this being to an adjacent location. If this being is banished, banish an opposing being with 2 or less Power at this location.",1,0,0,1,2,Trojan,Milo,Alpha 0.2.0,ILIAD019
"Aeneas, the Survivor",Being,Hero,"On Enter: If Hector is banished, this being cannot be banished by opponent effects this turn. If this being is banished, put it into your hand at the start of your next turn.",2,0,1,1,4,Trojan,Milo,Alpha 0.2.0,ILIAD020
"Deiphobus, Hector's Brother",Being,Hero,"Ongoing: If Hector is at this location, this being cannot be banished by opponent effects. If Hector is banished, banish an opposing being with 3 or less Power at this location.",2,0,1,0,3,Trojan,Milo,Alpha 0.2.0,ILIAD021
"Cassandra, the Prophetess",Being,Seer,"On Enter: Reveal the top 3 cards of a Greek player’s deck. Banish one of them. If you control 2+ Trojan beings, draw a card.",0,1,0,2,2,Trojan,Milo,Alpha 0.2.0,ILIAD022
"Sarpedon, the Lycian",Being,Hero,"On Enter: If Hector is on the board, put a Trojan Warrior from your deck into your hand. If this being is banished, put a Trojan Warrior from your deck into play.",2,0,1,1,4,Trojan,Milo,Alpha 0.2.0,ILIAD023
"Hecuba, Queen of Troy",Being,Leader,"Ongoing: Trojan beings at this location cannot be moved by opponent effects. If Priam is banished, banish an opposing being with 2 or less Power at this location.",0,0,2,1,3,Trojan,Milo,Alpha 0.2.0,ILIAD024
"Trojan Granary",Being,Supply,"Ongoing: At the start of your turn, draw a card. If this being is banished, Trojan players cannot draw cards at the start of their next turn.",0,0,1,1,2,Trojan,Milo,Alpha 0.2.0,ILIAD053
"Hecuba's Stores",Being,Supply,"Ongoing: Once per turn, if you control 2+ Trojan beings at this location, draw a card. If this being is banished, put a Trojan Warrior from your deck into your hand.",0,1,1,0,2,Trojan,Milo,Alpha 0.2.0,ILIAD054
"Priam's Decree",Being,Strategy,"On Enter: Greek players cannot play beings at this location this turn. If this being is banished, draw a card.",1,0,1,1,3,Trojan,Milo,Alpha 0.2.0,ILIAD055
"The Scamander River",Being,Location,"Ongoing: Trojan beings at this location cannot be banished by Greek effects. Once per turn, you may move a Trojan being to an adjacent location.",0,0,2,1,0,Trojan,Milo,Alpha 0.2.0,ILIAD056
"Andromache's Plea",Being,Strategy,"On Enter: Choose a location. Greek players cannot banish Trojan beings at that location this turn. If Hector is banished, draw 2 cards.",0,1,1,0,2,Trojan,Milo,Alpha 0.2.0,ILIAD057
"Trojan Reinforcements",Being,Warrior,"On Enter: If you control a Trojan ‘supply’ being, put a Trojan Warrior from your deck into your hand. If this being is banished, put a Trojan Warrior from your deck into play.",1,0,1,0,2,Trojan,Milo,Alpha 0.2.0,ILIAD058
