Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Kurukshetra Foot-Soldiers",Being,"Human, Soldier","",0,0,0,1,2,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'Eighteen armies stood on the field of dharma. The conches blared, and the earth trembled between the two hosts.'"
"Draupadi",Being,"Human, Queen","Draupadi cannot be targeted by enemy card effects.",0,0,0,1,2,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'They pulled at her sari in the gaming-hall, and it unwound without end. Krishna had heard her; her honour could not be stripped.'"
"Shakuni's Loaded Dice",Artefact,"Game","On enter: Choose an opponent. They reveal their hand, and you may put one card from it at the bottom of their deck.",0,0,0,2,0,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'The dice are my bow and arrows, said Shakuni. The heart of the dice is my bowstring.'"
"Shakuni, the Gambler",Being,"Human, Schemer","On enter: Each opponent must discard a card.",0,0,0,2,2,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'One more throw, said Shakuni gently. And Yudhishthira staked his kingdom, his brothers, himself — and lost them all.'"
"Abhimanyu, the Young Warrior",Being,"Human, Hero","On destruction: Draw two cards.",0,0,0,2,4,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'He had learned in the womb how to enter the wheel-formation, but not how to leave it. Sixteen years old, he fought them all alone.'"
"The Bhagavad Gita",Artefact,"Counsel","On enter: Draw two cards.",0,0,0,2,0,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'My bow slips from my hand, said Arjuna. These are my teachers and my kin. — And between the two armies, Krishna began to speak.'"
"Krishna, the Charioteer",Being,"Deity, Charioteer","While on top: Once per turn, you may move a friendly hero to another location.",0,0,0,3,4,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'I will not lift a weapon in this war, said Krishna. I will only hold the reins. It was worth more than all the armies.'"
"Drona, the Master-at-Arms",Being,"Human, Teacher","On enter: Draw a hero from your deck.",0,0,0,3,4,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'Every archer on both sides of the field had learned the bow from him. Now his students drew against him.'"
"Yudhishthira, the Just",Being,"Human, Hero, King","On enter: Draw a card for each of your heroes in play.",0,0,0,3,4,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'His chariot rode a hand's breadth above the earth, for he had never told a lie. Then came the day of the elephant named Ashwatthama.'"
"The Chakravyuha",Artefact,"Formation","While on top: Enemy beings cannot leave this location.",0,0,0,3,0,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'The wheel-formation turned, rank within rank. To enter it was hard; to leave it, no one living had been taught.'"
"Duryodhana, the Envious",Being,"Human, King","",0,0,0,3,6,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'I know what is right, he said, but I have no taste for it. I know what is wrong, but I cannot leave it alone.'"
"Karna, the Sun-Born",Being,"Human, Hero","On enter: Discard a card.",0,0,0,3,7,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'Indra came disguised as a beggar and asked for his golden armour. Karna cut it from his own body and gave it, knowing the trick.'"
"Arjuna, the Focused",Being,"Human, Hero, Archer","On enter: For each opponent, destroy an enemy being here with Power [3] or less. If 'Krishna, the Charioteer' is here, destroy their strongest being here instead.",0,0,0,4,6,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'What do you see? asked Drona. Only the eye of the bird, said Arjuna. Then shoot.'"
"Bhima, the Strong",Being,"Human, Hero","While on top: This card has +1 Power for each card the opponent controls at this location.",0,0,0,4,6,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'He swore in the gaming-hall to shatter the thigh of Duryodhana and drink the blood of Duhshasana. He kept both oaths.'"
"Bhishma, the Grandsire",Being,"Human, Hero, Commander","Indestructible. While on top: Once per turn, you may banish this being.",0,0,0,5,8,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'Death could not take him until he chose. On a bed of arrows he waited for the sun to turn north, teaching the kings as he died.'"
