Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Naganakidori, the Long-Crying Cocks",Being,"Bird","On enter: Draw 'Ame-no-Uzume, Goddess of Dawn' from your deck.",0,0,0,1,2,Japanese,ZImageTurbo,Alpha 0.3.0,,"'The gods gathered the birds of the eternal night and set them crowing before the cave, so that the darkness itself would believe the dawn had come.'"
"Wakahirume, the Weaving Maiden",Being,"Deity, Weaver","When Wakahirume leaves the world: You may hide your 'Amaterasu, Goddess of the Sun' beneath 'The Heavenly Rock Cave'.",0,0,0,1,2,Japanese,ZImageTurbo,Alpha 0.3.0,,"'She sat weaving the garments of the gods when the flayed horse crashed through the roof of the hall. At her death the sun goddess rose from her loom, and the light went with her.'"
"Ishikoridome, the Mirror-Smith",Being,"Deity, Smith","On enter: Draw 'Yata no Kagami, the Sacred Mirror' from your deck.",0,0,0,1,2,Japanese,ZImageTurbo,Alpha 0.3.0,,"'From iron of the heavenly mine she cast a mirror wide as eight hands. It was made for one purpose: to show the sun her own face.'"
"Tamanoya, the Jewel-Maker",Being,"Deity, Smith","On enter: Your next artefact this turn costs [1] less.",0,0,0,1,3,Japanese,ZImageTurbo,Alpha 0.3.0,,"'Five hundred jewels he strung on a cord long as the night. Curved like claws, like the moon, like everything that waits to return.'"
"Yasakani no Magatama, the Sacred Jewels",Artefact,"Regalia","While on top: Your deities have +1 Power.",0,0,0,1,0,Japanese,ZImageTurbo,Alpha 0.3.0,,"'The gods hung the jewels on the branches of the sacred sakaki tree before the cave. Even in the dark they glittered — a promise that light remembers its own.'"
"Yata no Kagami, the Sacred Mirror",Artefact,"Regalia, Mirror","On enter: You may copy the 'On enter' effect of another friendly card at this location.",0,0,0,2,0,Japanese,ZImageTurbo,Alpha 0.3.0,,"'Whatever stands before it, the mirror gives back without asking. It showed the sun goddess a radiant stranger, and she leaned closer to see who outshone her.'"
"Omoikane, God of Wisdom",Being,"Deity, Sage","While on top: While it is dark, draw an extra card at the start of your turn.",0,0,0,2,4,Japanese,ZImageTurbo,Alpha 0.3.0,,"'When eight hundred gods stood helpless in the dark, it was Omoikane who thought for them all. The plan was his: the cocks, the mirror, the jewels, the dance.'"
"Ame-no-Uzume, Goddess of Dawn",Being,"Deity, Dancer","While it is dark: Uzume has +3 Power.",0,0,0,2,4,Japanese,ZImageTurbo,Alpha 0.3.0,,"'She overturned a tub before the cave, drummed her feet upon it, and danced until the myriad gods roared with laughter. The darkness had no answer for her.'"
"The Heavenly Rock Cave",Structure,"Cave","When your Amaterasu is hidden: Put this into play from your deck or hand for free. While your Amaterasu is hidden beneath this: It is dark — all beings everywhere have -1 Power. Amaterasu can only leave the cave through 'Ame-no-Tajikarao, God of Strength'.",0,0,0,2,0,Japanese,ZImageTurbo,Alpha 0.3.0,,"'She drew the stone door shut behind her, and heaven and earth went black. Evil spirits filled the long night like flies in the fifth moon, and every prayer went unheard.'"
"Tsukuyomi, God of the Moon",Being,"Deity, Moon","While it is dark: Tsukuyomi has +4 Power.",0,0,0,3,6,Japanese,ZImageTurbo,Alpha 0.3.0,,"'Born from the right eye as his sister was born from the left, the moon god rules the dominion of the night. When she hid her light, only his remained.'"
"Futodama, Bearer of the Sacred Rope",Being,"Deity, Priest","While on top: Your Amaterasu cannot be hidden, and cannot be banished or moved by opponent effects.",0,0,0,3,5,Japanese,ZImageTurbo,Alpha 0.3.0,,"'The moment she stepped out, Futodama stretched the plaited rope across the cave mouth behind her and said: this far, and no farther back.'"
"Ame-no-Tajikarao, God of Strength",Being,"Deity","On enter: If you control 'Yata no Kagami, the Sacred Mirror' and 'Ame-no-Uzume, Goddess of Dawn': Pull Amaterasu out of the cave — return her to any location.",0,0,0,3,7,Japanese,ZImageTurbo,Alpha 0.3.0,,"'He hid beside the door while the goddess leaned out toward her reflection. Then the strong-handed god took her wrist, and the sun stood in the sky once more.'"
"The Eight Hundred Myriad Gods",Being,"Deity, Assembly","Has +1 Power for each of your other deities in the world.",0,0,0,4,6,Japanese,ZImageTurbo,Alpha 0.3.0,,"'In the dry bed of the Tranquil River of Heaven the yaoyorozu no kami assembled, eight hundred myriads of them, and not one could light a candle alone.'"
"Susanoo, the Storm God",Being,"Deity, Storm","On enter: Destroy one of your other beings here. If you do, you may hide your Amaterasu beneath 'The Heavenly Rock Cave'.",0,0,0,5,10,Japanese,ZImageTurbo,Alpha 0.3.0,,"'He trampled the rice fields, defiled the halls, and hurled the flayed piebald horse through the roof of the weaving hall. For this the gods fined him a thousand tables of offerings and tore out his beard — but the damage was done.'"
"Amaterasu, Goddess of the Sun",Being,"Deity, Sun","While on top: Your other beings have +1 Power. When Amaterasu returns from the cave: Your beings have +2 Power this turn and you draw 2 cards.",0,0,0,6,11,Japanese,ZImageTurbo,Alpha 0.3.0,,"'Heaven-Shining-Great-August-Deity, from whom all light proceeds. The world learned what she was worth on the day she took her light away.'"
