Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Xmucane, Grandmother of Dawn",Being,"Human, Elder","On enter: Draw 'Hun Hunahpú, the Summoned Father' from your deck.",0,0,0,1,2,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'Grandmother of day, grandmother of light. She ground the yellow maize and the white maize nine times over, and from that meal the flesh of people was made.'"
"Hun Hunahpú, the Summoned Father",Being,"Human, Ballplayer","When Hun Hunahpú leaves the world: Draw 'Xquic, Mother of the Twins' from your deck.",0,0,0,1,2,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'The lords of Xibalba hung his head in the calabash tree, and the tree bore fruit for the first time. A skull among the gourds — and it could still speak.'"
"Zipacna, Maker of Mountains",Being,"Giant","On enter: You may destroy your 'Four Hundred Boys'.",0,0,0,1,3,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'He carried their great house-beam alone, so the four hundred boys plotted to bury him in the post-hole. He let the house fall on them instead, and drank to their memory.'"
"The Squash-Head Ball",Artefact,"Ball","On enter: Revive a twin.",0,0,0,1,0,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'The bat took Hunahpú's head, so his brother carved him a new one from a squash. The lords played ball with the real head all night and never noticed the difference.'"
"Camazotz, the Death Bat",Being,"Beast, Bat","On enter: You may destroy one of your other beings here. If you do, draw 2 cards.",0,0,0,2,4,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'All night in the House of Bats the twins hid inside their blowguns. Hunahpú peeked out to see if dawn had come — and the snatch-bat took his head off at the neck.'"
"Xquic, Mother of the Twins",Being,"Deity, Maiden","On enter: If 'Hun Hunahpú, the Summoned Father' is in your underworld, draw 'Hunahpú, the Elder Twin' and 'Xbalanqué, the Younger Twin' from your deck.",0,0,0,2,3,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'The daughter of a lord of Xibalba reached for the strange fruit, and the skull spat into her open palm. In my saliva I have given you my descendants, it said. Now climb to the surface of the earth.'"
"The Ball Court of Xibalba",Structure,"Court","While on top: The first time one of your beings leaves the world each turn, your next card that turn costs [1] less.",0,0,0,2,0,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'Come and play, said the lords, and meant: come and die. On that court the stakes were never points. Every game with Xibalba is played for the players themselves.'"
"The Dance of the Armadillo",Artefact,"Performance","On enter: You may destroy one of your beings, then revive it with +2 Power.",0,0,0,2,0,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'Two ragged travelling performers burned houses and restored them, killed each other and rose again dancing. All Xibalba came to watch, and the lords demanded the trick for themselves.'"
"Hunahpú, the Elder Twin",Being,"Hero, Twin","When Hunahpú leaves the world: If 'Xbalanqué, the Younger Twin' is in the world, you may revive Hunahpú with +2 Power.",0,0,0,3,5,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'Blowgunner, ballplayer, firstborn of the pair. He lost his head twice and finished the game both times. Dying was simply a move he knew how to answer.'"
"Xbalanqué, the Younger Twin",Being,"Hero, Twin","When Xbalanqué leaves the world: If 'Hunahpú, the Elder Twin' is in the world, you may revive Xbalanqué with +2 Power.",0,0,0,3,5,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'Little Jaguar Sun, the younger and the cleverer. When the bat took his brother's head, he called the animals together before dawn and rebuilt him by hand.'"
"The Four Hundred Boys",Being,"Human, Host","When the Four Hundred Boys leave the world: They rise as stars — draw 2 cards.",0,0,0,3,6,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'Zipacna brought their house down upon all four hundred while they drank. But they did not stay buried: they rose into the sky together, and are the Pleiades still.'"
"One Death, Lord of Xibalba",Being,"Deity, Death Lord","On enter: Destroy one of your other beings.",0,0,0,4,9,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'First among the lords of the place of fright. His messengers are the owls, his houses are torment, and his summons has never once been an invitation.'"
"Seven Death, Lord of Xibalba",Being,"Deity, Death Lord","On enter: Each player destroys their weakest being at this location.",0,0,0,4,9,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'He sat beside One Death and matched him sentence for sentence. When the twins offered to perform their finest trick on the two of them, the lords clamored to be first.'"
"Vucub Caquix, the False Sun",Being,"Bird, Demon","At the start of your turn: If you control both twins, destroy Vucub Caquix.",0,0,0,5,11,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'I am the sun, I am the light, I am the moon, said the great macaw, for his eyes were silver and his teeth were jewels. He was none of these things — and the twins were already loading their blowguns.'"
"Sun and Moon, the Twins Ascendant",Being,"Deity, Celestial","While 'Hunahpú, the Elder Twin' and 'Xbalanqué, the Younger Twin' are both in your underworld: You may play this from your hand for free. On enter: Destroy up to two beings anywhere.",0,0,0,6,12,K'iche' Maya,ZImageTurbo,Alpha 0.3.0,,"'They leapt into the pit oven willingly, and their ground bones were poured into the river. Five days later they returned, performed their death-trick on the lords themselves — and left them dead. Then they rose into the sky, and one became the sun, the other the moon.'"
