Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Clay",Being,Clay,"On enter: If you have a human, draw a human.",0,0,0,0,0,Akkadian,Flux2:Klein9b,Alpha0.3.0,,"""Aruru washed her hands, she pinched off clay and cast it on the steppe. On the steppe she created Enkidu to rival Gilgamesh's power."""
"Ninsun, Mother of Gilgamesh",Being,Deity,"On enter: Search your deck for Gilgamesh and add him to your hand. If he is already in play, move him to this location instead.",0,0,0,1,1,Akkadian,Flux2:Klein9b,Alpha 0.3.0,,"""O Ninsun, you are wise and know everything... Intercede for me with Shamash the Sun-God, for my path is long."""
"Alewife Siduri",Being,Human,On enter: You may move one of your beings here to another location.,0,0,0,1,2,Akkadian,Flux2:Klein9b,Alpha 0.3.0,,"""'Gilgamesh, where are you hurrying? You will never find that life for which you looking.'"""
"Trapper",Being,Human,"On enter: Draw Enkidu",0,0,0,1,2,Akkadian,Flux2:Klein9b,Alpha0.3.0,,"""A hunter, a trapper, faced Enkidu at the watering hole... 'Father, a man has come from the hills, he fills up my pits and breaks my traps.'"""
"Gilgamesh",Being,"Human, Hero, King","Gilgamesh's power is equal to 1 + the power of all monsters in your underworld. While Enkidu is at the same location as Gilgamesh, they are immortal",0,0,0,1,1+,Akkadian,Sana1.5:1.6b,Alpha 0.3.0,,"""He built the walls of Uruk, the sacred storehouse. Two-thirds of him is god, and one-third is human."""
"Enkidu",Being,"Human, Hero","While on top: You may move Enkidu to Gilgamesh. Enkidu's power is equal to 1 + the power of all monsters in your underworld.",0,0,0,1,1+,Akkadian,Sana1.5:1.6b,Alpha 0.3.0,,"""With the gazelles he eats wild grass, with the beasts he jostles at the waterhole. He knew neither people nor a homeland."""
"Shamhat",Being,"Human, Priestess","On enter: Play Enkidu here from your hand, deck, or underworld.",0,0,0,2,2,Akkadian,Flux2:Klein9b,Alpha 0.3.0,,"""Shamhat bared her bosom, and he possessed her ripeness... For six days and seven nights Enkidu stayed erect, and forgot the wild where he was born."""
"Ferryman Urshanabi",Being,"Human, Underworld Guide","While on top: Once per turn, you may pay [1] to move a friendly being to another location.",0,0,0,2,3,Akkadian,Flux2:Klein9b,Alpha 0.3.0,,"""'He is the one who crosses the Waters of Death, to reach Utnapishtim the Faraway.'"""
"Mountain Lions",Being,"Beast, Monster","Cannot be played at a location where you have heroes. Defeated when you have one or more heroes here. Reward: Draw a card and move a hero from here to another location.",0,0,0,1,2,Akkadian,Flux2:Klein9b,Alpha 0.3.0,,"""'When I arrived at the mountain passes at night, I saw lions and grew terrified. I raised my axe and struck them down.'"""
"Scorpion-Men",Being,"Beast, Monster","Cannot be played at a location where you have heroes. Defeated when you have one or more heroes here. Reward: Draw two cards.",0,0,0,2,3,Akkadian,Flux2:Klein9b,Alpha 0.3.0,,"""At the mountains of Mashu, Scorpio-men guard the gate... whose glance is death, whose radiant halo sweeps the peaks."""
"The Serpent",Being,"Beast, Monster","Cannot be played at a location where you have heroes. Defeated when you have one or more heroes here. Reward: Each opponent must discard a card.",0,0,0,3,4,Akkadian,Flux2:Klein9b,Alpha 0.3.0,,"""A serpent caught the scent of the plant of youth; it came up silently from the pool and snatched it away, instantly shedding its old skin."""
"Ishtar",Being,Deity,"While on top: Whenever one of your heroes moves away from here, each opponent must banish a creature with a cost of [2] or lower.",0,0,0,4,7,Akkadian,Flux2:Klein9b,Alpha 0.3.0,,"""Princess Ishtar raised her eyes to his beauty: 'Come, Gilgamesh, be my husband! But he replied: Which of your lovers did you ever love forever?'"""
"Utnapishtim, Survivor of the Flood",Being,"Human, King",Immortal.,0,0,0,4,8,Akkadian,Flux2:Klein9b,Alpha 0.3.0,,"""'Man of Shuruppak, build a great boat! Abandon wealth and look for life... For the gods have given me eternal life among the stars.'"""
"Humbaba, Guardian of the Cedar Forest",Being,"Plant, Monster","Cannot be played at a location where you have heroes. Defeated when you have two or more heroes here. Reward: You may play a card of cost [4] or less for free.",0,0,0,4,7,Akkadian,Sana1.5:1.6b,Alpha 0.2.0,hwJJK90X4Tw,"""His roar is the Flood, his mouth is Fire, his breath is Death. Enlil appointed him to guard the Cedar Forest to terrify mortals."""
"Bull of Heaven",Being,"Deity, Monster","Cannot be played at a location where you have heroes. Defeated when you have two or more heroes here. Reward: Each opponent must banish two of their beings.",0,0,0,4,6,Akkadian,Flux2:Klein9b,Alpha 0.3.0,,"""Ishtar cried to her father: 'Create the Bull of Heaven to strike Gilgamesh down!' With its first snort, a chasm opened and swallowed a hundred men."""
