Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID
"North Wind",Spell,"One-Time","Move an enemy being.",0,0,0,1,0,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"East Wind",Spell,"One-Time","Two enemy beings move to each other's location.",0,0,0,1,0,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Marduk",Being,"Deity, Warrior","While on top: If Marduk is your only being at this location. Only this location is relevant for scoring.,0,0,0,1,2,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"South Wind",Spell,"One-Time","No being can be played at target location until your next turn.",0,0,0,2,0,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"West Wind",Spell,"One-Time","Return an enemy being from target location to its owner’s hand.",0,0,0,2,0,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Ea's Wisdom",Spell,"One-Time","Draw two cards.",0,0,0,2,0,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Slayer",Being,"Deity, Horse","On enter: You may draw Marduk from your deck or underworld.",0,0,0,1,2,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Pitiless",Being,"Deity, Horse","On enter: You play Marduk for free.",0,0,0,2,3,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Racer",Being,"Deity, Horse","On enter: You may return Marduk to your hand from your battlefield or underworld.",0,0,0,2,3,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Flyer",Being,"Deity, Horse","On enter: You play move Marduk.",0,0,0,3,5,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Lightning",Attachment,"Divine Weapon","",0,0,0,3,+5,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Net",Attachment,"Divine Weapon","Attach this to a location: No beings may be played here.",0,0,0,3,0,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Bow and Arrow",Attachment,"Divine Weapons","On enter: Destroy one creature of every opponent with less power than attached being.",0,0,0,2,+4,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Anu's Blessing",Attachment,"Divine Blessing","Double attached being's power.",0,0,0,3,*2,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Storm-Weapon Imhullu",Attachment,"Divine Mace","On enter: Every opponent selects one of their beings here. Move all beings except their selection and the attached being to another location.",0,0,0,3,+3,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
