Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"The Great Sumerian Deluge",Catastrophe,Flood,"Put this aside at the start of the game. The first time there are 8 or more humans in play, the flood happens at the end of that turn. The Flood: Banish all humans.",0,0,0,0,0,Akkadian,ZImageTurbo,Alpha 0.3.0,,"'The noise of mankind has become too much. I am disturbed by their uproar. Sleep no longer comes to me.' — Enlil, before the council"
"Craftsmen of the Ark",Being,"Human, Artisan",,0,0,0,3,6,Akkadian,ZImageTurbo,Alpha 0.3.0,,"Gold, silver, his kin, and the craftsmen — all went aboard. Their hands had built the ship; now the ship would carry them."
"Flies",Being,"Insect","If a being left the world this turn, you may play this for free.",0,0,0,1,2,Akkadian,ZImageTurbo,Alpha 0.3.0,,"They come where something has ended. They are never far behind."
"Slave",Being,"Human","While on top: You may banish this to play your next artefact this turn for [2] less.",0,0,0,1,2,Akkadian,ZImageTurbo,Alpha 0.3.0,,"His hands know the weight of stone and brick. He has built the city. He will not be remembered in it."
"Shepherd",Being,"Human","On enter: The next human you play costs [1] less.",0,0,0,1,1,Akkadian,ZImageTurbo,Alpha 0.3.0,,"Where he walks, others follow. He does not ask them to."
"Farmer",Being,"Human","On enter: Play another 1 cost human for free.",0,0,0,1,2,Akkadian,ZImageTurbo,Alpha 0.3.0,,"The field is never worked alone. One calls to his neighbor, and his neighbor comes."
"Fisherman",Being,"Human","On enter: Draw two humans from your underworld.",0,0,0,2,3,Akkadian,ZImageTurbo,Alpha 0.3.0,,"He casts his net into the dark water and pulls out what the deep sees fit to return."
"Sacrificer at the Altar",Being,"Human, Priest","On enter: If the flood would happen at the end of this turn, it happens at the end of your next turn instead.",0,0,0,2,4,Akkadian,ZImageTurbo,Alpha0.3.0,,"The gods are not easily turned. But they can be made to wait."
"Weeping Mother Goddess",Being,"Deity","On enter: Choose one of your humans with a cost of [2] or less and return it to its owner's hand.",0,0,0,2,4,Akkadian,ZImageTurbo,Alpha 0.3.0,,"'How could I have agreed to destroy my own children in the council of gods?' She would not be consoled."
"Shipbuilder",Being,"Human","While on top: Artifacts you play cost [1] less.",0,0,0,2,4,Akkadian,ZImageTurbo,Alpha 0.3.0,,"He has never asked what the ship is for. He asks only whether the joints will hold."
"Citizen of Shruppak",Being,"Human","On enter: Draw two humans.",0,0,0,3,4,Akkadian,ZImageTurbo,Alpha 0.3.0,,"Shruppak was a city that knew the gods. Its streets were full, and its walls were old. It did not think the world could end."
"Elders of Shuruppak",Being,Human,"While on top: Double the power of all your humans here.",0,0,0,3,0,Akkadian,ZImageTurbo,Alpha 0.3.0,,"They have seen five kings come and go. When they speak, even the young men are quiet."
"Atrahasis, Flood Survivor",Being,"Human, King","Immortal.",0,0,0,4,8,Akkadian,ZImageTurbo,Alpha 0.3.0,,"Ea leaned close to the wall of reeds and spoke just loud enough for one man to hear. That was all it took."
"Enlil, Storm God",Being,"Deity","On enter: If there are two or more humans here, you may unleash the flood at this location.",0,0,0,5,5,Akkadian,ZImageTurbo,Alpha 0.3.0,,"He did not hate them. He simply could not sleep."
"The Ark",Artefact,"Boat","Costs [1] less for each of your humans. Indestructible. On enter: Choose a location. While on top: Your humans on chosen location are protected from the flood.",0,0,0,10,12,Akkadian,ZImageTurbo,Alpha 0.3.0,,"Six decks, seven compartments, nine sections. Pitch sealed every seam. Inside: gold, silver, all living things, his kin, the craftsmen, the cattle of the field. The rain began at dawn."
