Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID
"Mušḫuššu",Being,"Chaos, Hybrid, Dragon","",0,0,0,1,2,Babylonian,Flux1,Alpha 0.2.0,
"Kusarikku",Being,"Chaos, Human, Bull, Hybrid","",0,0,0,1,2,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Uridimmu",Being,"Chaos, Human, Dog, Hybrid","On enter: You may move one of your beings to this location.",0,0,0,1,2,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Scorpion Man",Being,"Chaos, Human, Scorpion, Hybrid","While on top: You may banish this being.",0,0,0,1,2,Babylonian,Flux1,Alpha 0.2.0,
"Kulullu",Being,"Chaos, Human, Fish, Hybrid","While on top: You may return this to your hand to draw a card.",0,0,0,2,3,Babylonian,Flux1,Alpha 0.2.0,
"Mušmaḫḫū",Being,"Chaos, Hybrid, Dragon ","On enter: You may move one of your opponent's beings.",0,0,0,2,1,Babylonian,Flux1,Alpha 0.2.0,
"Lahmu Warrior",Being,"Chaos, Warrior","",0,0,0,2,4,Babylonian,Flux1,Alpha 0.2.0,
"Ugallu",Being,"Chaos, Lion, Demon, Hybrid","",0,0,0,3,6,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Labbu",Being,"Chaos, Sea-Dragon","This being costs [1] less for each of your chaos beings at this location.",0,0,0,6,7,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Bašmu",Being,"Chaos, Serpent","On enter: You must destroy one of your chaos beings.",0,0,0,3,8,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Ušumgallu",Being,"Chaos, Hybrid, Dragon","",0,0,0,4,8,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Umū Dabrūtu",Being,"Chaos, Elemental, Demon","While on top: The power of this being is equal to the power of your strongest chaos being in play.",0,0,0,4,*,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Lady Hubur",Being,"Deity, Artificer","While on top: At the end of your turn, reveal the top card of your deck. You may draw it if it is a chaos being.",0,0,0,5,9,Babylonian,Flux1,Alpha 0.2.0,
"Qingu",Being,"Deity, Commander","While on top: At the end of your turn, reveal the top card of your deck. You may play it for free if it is a chaos being.",0,0,0,6,9,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
"Tiamat",Being,"Deity","While on top: All your beings are of type chaos, whether they are in your deck, underworld, hand or in play.",0,0,0,7,14,Babylonian,Sana1.5:1.6b,Alpha 0.2.0,
