Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Huginn, Thought",Being,"Bird","On enter: Look at the top 3 cards of your deck. Put them back in any order.",0,0,0,1,1,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Over Middle-earth he flies each morning and returns at the day-meal with news for the Allfather's ear.'"
"Muninn, Memory",Being,"Bird","On enter: Return a card from your underworld to your hand.",0,0,0,1,1,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'For Huginn I fear, that he come not home — yet more anxious am I for Muninn.'"
"Völva, the Seeress",Being,"Human, Seer","On enter: Look at the top 2 cards of your deck. Put one into your hand and the other at the bottom.",0,0,0,1,1,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Much I know, said the seeress. I see further — beyond the doom of the gods. Would you know yet more?'"
"Ratatoskr, the Gossip",Being,"Beast, Squirrel","On enter: All players reveal their hands.",0,0,0,1,1,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Up and down the ash Yggdrasil he runs, carrying spiteful words between the eagle above and the serpent below.'"
"Mimir's Well",Artefact,"Well","On enter: You may banish one of your beings to draw three cards.",0,0,0,2,0,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'A drink from the well is not given for nothing. The Allfather left his eye in the water, and it lies there still.'"
"Mimir's Severed Head",Being,"Deity, Sage","While on top: At the end of your turn, you may look at the top card of your deck and put it at the bottom.",0,0,0,2,1,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'The Vanir sent back his head. Odin smeared it with herbs and sang songs over it, and it speaks to him of hidden things.'"
"Gunnlod, Keeper of the Mead",Being,"Giant","While on top: Once per turn, you may pay [1] to draw a card.",0,0,0,2,3,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Three nights he lay beside her in the mountain, and she granted him three sips of the precious mead. Each sip emptied a vat.'"
"Geri and Freki",Being,"Beast, Wolf","",0,0,0,2,4,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'The war-wont father of hosts feeds his two wolves all the meat from his table; wine alone is food and drink to Odin.'"
"Sleipnir, the Eight-Legged",Being,"Beast, Horse","While on top: Once per turn, you may move Sleipnir and the card beneath it to another location.",0,0,0,2,3,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Eight legs bear him over sea and sky, the best of horses, grey as storm — Loki's strangest child.'"
"Odin, the Wanderer",Being,"Deity","While on top: At the end of your turn, if 'Huginn, Thought' and 'Muninn, Memory' are in play, draw a card.",0,0,0,3,4,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'A one-eyed old man in a blue cloak and a broad hat asked the king for a hearing. His questions were sharper than they seemed.'"
"Nine Nights on the Tree",Artefact,"Ordeal","On enter: You may destroy a friendly being. If you do, draw cards equal to its cost.",0,0,0,3,0,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'I know that I hung on the wind-torn tree nine whole nights, wounded by the spear, given to Odin — myself to myself.'"
"Vafthrudnir, the Riddle-Giant",Being,"Giant, Sage","On enter: Look at the top card of an opponent's deck. You may put it at the bottom of their deck.",0,0,0,3,5,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Wager your head, guest, on the wisdom-game. — Doomed was the giant when the last question came: What did Odin whisper in the ear of his dead son on the pyre?'"
"Suttungr, the Mead's Warden",Being,"Giant","While on top: Opponents cannot draw cards outside their draw step.",0,0,0,4,7,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'He hid the mead in the heart of the mountain and set his daughter to guard it, and shared not a drop with god or man.'"
"Kvasir, Born of All Gods",Being,"Deity, Sage","On enter: Draw two cards. On destruction: Draw 'The Mead of Poetry' from your deck.",0,0,0,4,5,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Made from the spittle of every god, he wandered the world answering all questions, until two dwarves grew tired of wisdom and cut his throat.'"
"The Mead of Poetry",Artefact,"Drink","On enter: Draw three cards.",0,0,0,4,0,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Whoever drinks of it becomes a poet or a scholar. Odin drank all three vats in three draughts and flew home as an eagle, spilling a little behind him.'"
