Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Ragnarök, the Doom of the Gods",Catastrophe,"Twilight","Put this aside at the start of the game. The first time there are 8 or more deities or giants in play, Ragnarök happens at the end of that turn. Ragnarök: Banish all deities and giants.",0,0,0,0,0,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Brothers will fight and kill each other. An axe-age, a sword-age, shields are riven; a wind-age, a wolf-age, before the world goes down.'"
"Lif and Lifthrasir",Being,"Human","Protected from Ragnarök.",0,0,0,1,2,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Two of mankind hid in Hoddmimir's wood, and the morning dew was their food, and from them the world was peopled again.'"
"Valkyries",Being,"Deity, Chooser","On enter: Revive a being with a cost of [2] or less.",0,0,0,2,3,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Over the field of the slain they ride, choosing who falls and who wakes at evening in the hall of the chosen.'"
"Gjallarhorn",Artefact,"Horn","On enter: If there are 5 or more deities or giants in play, Ragnarök happens at the end of this turn.",0,0,0,2,0,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Heimdall raises the horn and blows with all his might; its blast is heard in every world. The gods wake and meet in council.'"
"Heimdall, the Watcher",Being,"Deity, Sentry","On enter: Draw 'Gjallarhorn' from your deck.",0,0,0,2,4,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'He needs less sleep than a bird, sees a hundred leagues by night as by day, and hears the grass growing on the earth and the wool on the sheep.'"
"Frigg, the Foreseeing",Being,"Deity","On enter: Look at the top 3 cards of your deck. Put them back in any order.",0,0,0,2,3,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'She knows all fates, though she speaks none of them. She wept, and did not say what she had known.'"
"Einherjar, the Chosen Slain",Being,"Human, Warrior","On revive: Draw a card.",0,0,0,2,4,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Each day they arm and fight in the great courtyard and cut each other down; by evening they ride home whole and sit together to mead.'"
"Loki, Breaker of Bonds",Being,"Deity, Trickster","On enter: The next monster you play this turn costs [2] less.",0,0,0,3,4,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Bound with the guts of his own son, venom dripping on his brow — when the bonds break, he comes steering the ship of the dead.'"
"Vidar, the Silent",Being,"Deity","Protected from Ragnarök.",0,0,0,3,5,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'The silent god wears the thick shoe made of all the leather scraps of time; with it he stands on the wolf's lower jaw and tears him apart. And he lives on when the fire dies.'"
"Baldr, the Shining",Being,"Deity","Protected from Ragnarök. On revive: Draw three cards.",0,0,0,3,4,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'All things wept for Baldr, save one. But after the fire and the flood he comes back from the world of the dead, and the fields grow unsown.'"
"Thor, the Thunderer",Being,"Deity","Thor counts as two deities for defeating monsters.",0,0,0,4,8,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'He smashes the serpent's head, walks nine steps from it through the venom, and falls dead to the earth.'"
"Odin, All-Father",Being,"Deity","On enter: Revive a deity with a cost of [3] or less.",0,0,0,4,7,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'The Allfather rides first in a helmet of gold to meet the wolf. He has known his fate since the seeress spoke, and rides anyway.'"
"Fenrir, the Unbound",Being,"Beast, Wolf, Monster","Cannot be played at a location where you have deities. Defeated when you have two or more deities here. Reward: Banish your strongest deity here, then draw three cards.",0,0,0,4,8,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'The fetter was smooth as silk, woven from the sound of a cat's footfall and the roots of a mountain. It held — until it did not. His jaws gape from earth to heaven.'"
"Jörmungandr, the World-Serpent",Being,"Serpent, Monster","Cannot be played at a location where you have deities. Defeated when you have two or more deities here. Reward: Banish your strongest deity here, then each opponent must banish two of their beings.",0,0,0,5,9,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'It lies in the sea around all lands and bites its own tail. When it lets go, the waves climb over the shore.'"
"Surtr, the Fire-Giant",Being,"Giant, Monster","Cannot be played at a location where you have deities. Defeated when you have two or more deities here. Reward: Destroy all other beings at this location.",0,0,0,5,10,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'From the south he rides with his flaming sword, brighter than the sun; fire consumes the world-tree and the sea rises over the land.'"
