Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Huginn, the Watchful",Being,"Bird","While on top: Play with the top card of your deck revealed.",0,0,0,1,2,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Each dawn the Allfather sends him out over the worlds. Nothing happens beneath the sky that the raven does not see.'"
"Muninn, the Mindful",Being,"Bird","While on top: If your top card is revealed, the card beneath it is also revealed.",0,0,0,1,2,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'What Huginn sees, Muninn keeps. The Allfather forgets nothing — the raven remembers it for him, and what comes after besides.'"
"Ratatoskr, the Messenger",Being,"Beast, Squirrel","While on top: Once per turn, you may swap the top and bottom cards of your deck.",0,0,0,1,2,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'From the eagle at the crown to the serpent at the roots he runs all day, and nothing he carries arrives the way it was sent.'"
"Mimir's Whispering Head",Being,"Deity, Sage","While on top: Once per turn, you may look at the top 3 cards of your deck and put them back in any order.",0,0,0,2,2,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'He speaks with the head each morning before the ravens fly. It has seen all the well has ever mirrored, and it holds nothing back.'"
"Kvasir, the Wisest",Being,"Deity, Sage","While in your deck and revealed: You may swap Kvasir with a card in your hand.",0,0,0,2,4,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'No question found him without an answer, for he was made of the wisdom of every god. He always knew who stood at the door before it opened.'"
"Frigg, Queen of Asgard",Being,"Deity","While in your deck and revealed: You may play Frigg as though she were in your hand.",0,0,0,2,4,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Only Frigg may sit beside him on the high seat Hlidskjalf and look out over all the worlds. She knows every fate she sees there, and speaks none of them.'"
"Odin, the High One",Being,"Deity","While on top: Play with the top card of your deck revealed. Once per turn, you may play your revealed top card as though it were in your hand.",0,0,0,3,5,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'When the Allfather sits on Hlidskjalf, he sees over all the worlds and every man's doings, and understands everything he sees.'"
"Göndul, the Valkyrie",Being,"Valkyrie, Chooser","While on top: Once per turn, you may swap one of your beings with your revealed top card.",0,0,0,3,5,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'She leaned on her spear-shaft and watched the lines meet. Whom she pointed at fell, and whom she chose took his place before the dust settled.'"
"Heimdall, the Far-Sighted",Being,"Deity, Sentry","While on top: All players play with the top card of their deck revealed.",0,0,0,3,6,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'By night as by day he sees a hundred leagues. What is hidden from gods and men alike is not hidden from him.'"
"Sleipnir, Odin's Steed",Being,"Beast, Horse","On enter: Look at the top card of your deck. If it is 'Odin, the High One', you may play him for free.",0,0,0,3,5,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Grey, eight-legged, the best of horses among gods and men. Wherever he stops, the rider on his back was already expected.'"
"Skuld, Norn of What Comes",Being,"Norn","While on top: Once per turn, you may swap your revealed top card with a card in your hand.",0,0,0,4,7,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'The youngest norn carves what has not yet happened. She reads tomorrow the way others read yesterday — and now and then she trades it away.'"
"Vafthrudnir, the Ancient",Being,"Giant, Sage","While on top: Vafthrudnir has +3 Power while your top card is revealed.",0,0,0,4,7,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Much have I travelled, much have I tried, nine worlds have I seen below. Mighty grows the one who knows what is coming.'"
"Hlidskjalf, the High Seat",Artefact,"Throne","While on top: Once per turn, you may play your revealed top card for free.",0,0,0,5,0,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'From Hlidskjalf the Allfather looks out over all the worlds. Freyr sat there once, uninvited, and what he saw he could not unsee — nor keep himself from reaching for it.'"
"Hrungnir, the Stone Giant",Being,"Giant",,0,0,0,5,11,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'He raced his golden-maned Gullfaxi against Sleipnir through the very gates of Asgard. The gods poured him mead; he drank every vat and swore to carry Valhalla home under one arm.'"
"Fenrir, the Doom of Odin",Being,"Beast, Wolf","While in your deck and revealed: You may play Fenrir as though he were in your hand and he costs [2] less.",0,0,0,6,12,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'The wolf swallows the Allfather at the last — he has known it since the seeress spoke. All his foresight ever bought him was the hour.'"
