Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Andvari, the Pike",Being,"Dwarf, Fish","On enter: Draw 'Andvaranaut, the Cursed Ring' from your deck.",0,0,0,1,1,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'The dwarf swam in the waterfall in the shape of a pike. Loki netted him and took all his gold — and the last ring from his hand. So Andvari cursed it: it shall be the death of whoever owns it.'"
"Andvaranaut, the Cursed Ring",Artefact,"Treasure","On enter: You may gift this card to an opponent. At the end of each turn, if this is on top of a stack, destroy the being beneath it.",0,0,0,1,4,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'The ring bred gold as long as its curse slept. It never slept long.'"
"Barnstokkr, the Great Oak",Artefact,"Tree","On enter: Look at the top 3 cards of your deck. You may draw an artefact from among them; put the rest at the bottom.",0,0,0,1,0,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'A one-eyed stranger drove a sword to the hilt into the tree-trunk: For him who can draw it. Every man pulled; it came to Sigmund's hand as if it lay loose.'"
"Regin, the Smith",Being,"Dwarf, Smith","On enter: Draw 'Gram, the Broken Sword' from your deck or underworld.",0,0,0,2,2,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'He whetted the shards and forged them anew, and fire seemed to burn along the edges. Now kill the dragon, said Regin — my brother.'"
"Grani, Sigurd's Horse",Being,"Beast, Horse","While on top: Once per turn, you may move Grani and the card beneath it to another location.",0,0,0,2,3,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'The grey colt would let no other man ride him. He was of Sleipnir's line, and an old one-eyed man had helped choose him.'"
"Gudrun, Daughter of Grimhild",Being,"Human","On enter: Return an enemy being with a cost of [2] or less to its owner's hand.",0,0,0,2,3,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Her mother brewed the ale of forgetting, and Sigurd drank it, and Brynhild's name went out of him like a fire quenched.'"
"Sinfjotli, the Wolf-Skinned",Being,"Human, Warrior","",0,0,0,2,4,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Father and son put on the wolf-shirts and could not take them off. Nine days they ran the forest as wolves, and what they met, they killed.'"
"Sigmund, Wielder of Gram",Being,"Human, Hero","On destruction: Draw a card.",0,0,0,2,4,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'In his last battle a one-eyed man in a broad hat raised his spear, and the sword broke upon it. Keep the shards, said Sigmund, dying. My son will bear them.'"
"Fafnir's Hoard",Artefact,"Treasure","On enter: Get an extra mana crystal for each monster in your underworld.",0,0,0,2,0,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Load the gold on Grani's back. There was more of it than two horses could bear, and the curse rode with every ring of it.'"
"Gram, the Broken Sword",Artefact,"Weapon","Costs [2] less if 'Regin, the Smith' is in play.",0,0,0,3,5,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Sigurd struck the anvil, and the sword split it to the base. Then he carried it to the river, and it cut a tuft of wool drifting on the current.'"
"Sigurd, Dragon-Slayer",Being,"Human, Hero","When Sigurd defeats a monster, draw two cards.",0,0,0,3,5,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'The dragon's blood touched his tongue, and the speech of birds came to him. The birds said: Regin means to betray you.'"
"Brynhild, the Valkyrie",Being,"Valkyrie, Hero","On destruction: Destroy your strongest hero at this location.",0,0,0,3,6,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'She swore to wed only the man who knew no fear, and ringed her hall with fire. Two men rode through it; one wore the other's face.'"
"Gunnar, the Harper",Being,"Human, King","On destruction: Each opponent must banish their weakest being.",0,0,0,3,5,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'Cast bound into the snake-pit, he played the harp with his toes so sweetly that every serpent slept — save one.'"
"Volsung, the Old King",Being,"Human, King","",0,0,0,4,8,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'I spoke a vow unborn: I shall flee neither fire nor iron for fear. So I have done all my life — and he fell with his men, keeping it.'"
"Fafnir, the Hoard-Dragon",Being,"Dragon, Monster","Cannot be played at a location where you have heroes. Defeated when you have one or more heroes here. Reward: Draw three cards, and you may play 'Andvaranaut, the Cursed Ring' from your deck for free.",0,0,0,5,9,Old Norse,ZImageTurbo,Alpha 0.3.0,,"'He was a dwarf's son once. He lay so long on the gold, and grudged it so bitterly, that he became the worm he was.'"
