Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Kaveh, the Blacksmith",Being,"Human, Rebel","On enter: Draw 'The Banner of Kaveh' from your deck.",0,0,0,1,2,Persian,ZImageTurbo,Alpha 0.3.0,,"'The smith strode into the tyrant's court, tore up the scroll of lies, and raised his leather apron on a spear-point. The city followed him.'"
"Tahmineh, Princess of Samangan",Being,"Human, Princess","On enter: Draw 'Sohrab, the Young Champion' from your deck.",0,0,0,1,1,Persian,ZImageTurbo,Alpha 0.3.0,,"'She came to Rostam in the night: No man like you has come to Samangan. He rode on before the child was born, and left a clasp for the child's arm.'"
"Simurgh's Feather",Artefact,"Talisman","On enter: Return a card from your underworld to your hand.",0,0,0,1,0,Persian,ZImageTurbo,Alpha 0.3.0,,"'Burn one feather of mine, said the great bird, and I will come to you at once, wherever you are.'"
"Zal, the White-Haired",Being,"Human, Sage","On enter: Draw 'The Simurgh' from your deck.",0,0,0,2,3,Persian,ZImageTurbo,Alpha 0.3.0,,"'The infant was left on the mountain for the shame of his white hair. The Simurgh carried him to her nest and raised him with her own young.'"
"Rakhsh, the Rose-Dappled",Being,"Beast, Horse","While on top: Once per turn, you may move Rakhsh and the card beneath it to another location.",0,0,0,2,3,Persian,ZImageTurbo,Alpha 0.3.0,,"'Every colt bent its back under Rostam's hand — save one. Whose horse is that? — He is yours, if you can catch him.'"
"The Banner of Kaveh",Artefact,"Banner","While on top: Your humans at this location have +1 Power.",0,0,0,2,0,Persian,ZImageTurbo,Alpha 0.3.0,,"'The kings after him hung the apron with jewels until it blazed like a sun; the Kaviani banner went before every army of Iran.'"
"Iranian Host",Being,"Human, Soldier","",0,0,0,2,4,Persian,ZImageTurbo,Alpha 0.3.0,,"'The army stretched from mountain to mountain, and the dust of its passing hid the sun.'"
"Sohrab, the Young Champion",Being,"Human, Hero","On destruction: Banish your strongest hero at this location.",0,0,0,2,5,Persian,ZImageTurbo,Alpha 0.3.0,,"'He broke the seal of the clasp on the dying boy's arm — his own crest, given in Samangan. What the old man did then, the field remembered forever.'"
"Akvan, the Trickster Div",Being,"Demon, Monster","Cannot be played at a location where you have heroes. Defeated when you have one or more heroes here. Reward: You may move an enemy being to another location, and draw a card.",0,0,0,3,5,Persian,ZImageTurbo,Alpha 0.3.0,,"'The div cut away the ground on which the hero slept and flung him, earth and all: Shall I drop you on the mountains or into the sea? Knowing divs do all things backwards, Rostam chose the mountains.'"
"Kay Khosrow, the Just King",Being,"Human, King","While on top: Once per turn, you may banish Kay Khosrow to draw three cards.",0,0,0,3,5,Persian,ZImageTurbo,Alpha 0.3.0,,"'At the height of his glory he gave away his treasures, named his heir, and walked into the mountain snows. No trace of him was ever found.'"
"Esfandiyar, the Bronze-Bodied",Being,"Human, Hero","Esfandiyar cannot be destroyed while no 'The Simurgh' is in play.",0,0,0,4,7,Persian,ZImageTurbo,Alpha 0.3.0,,"'He had bathed in invulnerability, all but his eyes. It was the Simurgh who taught Rostam the making of the double arrow of tamarisk.'"
"The Simurgh",Being,"Bird, Deity","On enter: Revive a being with a cost of [3] or less.",0,0,0,4,5,Persian,ZImageTurbo,Alpha 0.3.0,,"'She spread her wings over the wounded, drew the arrowheads with her beak, and healed the wounds with a brush of her feathers.'"
"Rostam, Son of Zal",Being,"Human, Hero","When Rostam defeats a monster, you may play a card with a cost of [3] or less for free.",0,0,0,4,8,Persian,ZImageTurbo,Alpha 0.3.0,,"'Seven trials lay between him and the king he must save: lions, deserts, dragons, witches and divs. He slept through the first; Rakhsh handled it.'"
"Div-e Sepid, the White Demon",Being,"Demon, Monster","Cannot be played at a location where you have heroes. Defeated when you have two or more heroes here. Reward: Revive a hero and draw two cards.",0,0,0,5,9,Persian,ZImageTurbo,Alpha 0.3.0,,"'The White Div was a mountain of frost and iron in the dark of the cave. Rostam tore out its liver, and its blood gave the blinded king back his sight.'"
"Zahhak, the Serpent-Shouldered",Being,"Human, King, Monster","Cannot be played at a location where you have heroes. Defeated when you have two or more heroes here. Reward: Each opponent must banish their strongest being.",0,0,0,5,8,Persian,ZImageTurbo,Alpha 0.3.0,,"'Where the demon kissed his shoulders, two black serpents grew, and each day they had to be fed the brains of two young men. He was not slain, but chained in Mount Damavand until the end of days.'"
