Name,Type,Effect,Green,Red,Blue,Colorless,Power,Artist,Edition,ID
Creature — Whispering Currents,Aquatic,At the end of each turn: You may move this creature.,0,0,1,0,1,,Alpha 0.1.0,rVwa9kAHUXA
Creature — Aquariasis,Aquatic,On Return: Move any creature.,0,0,1,0,2,,Alpha 0.1.0,bDrWuKIxWDo
Creature — Aquasail,Sea Serpent,On Play: Move a friendly creature to here.,0,0,1,0,2,,Alpha 0.1.0,abT4ehMSjMw
Creature — Driftwood Seraphim,Woodland Spirit,On Move: Return an enemy creature at the new location with mana cost of one or lower to their owner's hand.,0,0,1,0,2,,Alpha 0.1.0,m6uvOgD2u1H
"Creature — Kaelara, Azure Sentinel",Dragon,"At the end of the game, your opponent (sitting on your left) may move this creature.",0,0,1,0,4,,Alpha 0.1.0,prnbbw_rlPz
Creature — Moonlit Sprite Guardian,Spirit,On Move: Draw a card.,0,0,1,1,2,,Alpha 0.1.0,loyicJOUXIj
Creature — Aetherial Mire Dweller,Insect,On Play: Move any creature to here.,0,0,1,1,3,,Alpha 0.1.0,xPrGkyVuZD6
Creature — Zephyrine,Elemental,On Draw: You may move a friendly creature.,0,0,1,1,2,,Alpha 0.1.0,dVNOMiOU_fh
Creature — Mistress of the Tideshroud,Sea Witch,On Play: Move an enemy creature here to another location.,0,0,1,2,5,,Alpha 0.1.0,ZXBCWFmPta2
Creature — Sky Sentinel,Avian,On Play: Move an enemy creature with less power than this creature to this location.,0,0,1,1,3,,Alpha 0.1.0,
,,On Play: Move an enemy creature to this location.,0,0,1,2,5,,Alpha 0.1.0,
Creature — Zephyrine Sentinel,Wind Elemental,On Move: Move an enemy creature.,0,0,1,2,5,,Alpha 0.1.0,BNm_z82J9Lc
"Creature — Zha'thik, Maelstrom Wraith",Mythic,On Play: Move a friendly creature.,0,0,2,2,6,,Alpha 0.1.0,GyFGA2_0NGh
Creature — Maelstrom Oracle,Illusion,On Play: Move enemy creatures to this location.,0,0,3,2,7,,Alpha 0.1.0,bk2yS9BvdTw
Creature — Maelstrom Guardian,Melee Beast,On Play: Move all enemy creatures here to other locations.,0,0,3,3,8,,Alpha 0.1.0,KEuptP-PvIC
Creature — Maelstrom of the Abyssal Veil,Aquatic Undead,On Play: Move all your other creatures to any location.,0,0,4,3,9,,Alpha 0.1.0,e2zZOPFKAl0
